variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
ndvi,2019,june,Early Growing Season,mean,data/processed/composites/ndvi_2019_june_mean.tif,32,higher,23.973583221435547,74.9174575805664,0.13654091954231262,0.07785406708717346,-0.22068308293819427,0.49118080735206604,0.14546245336532593,-0.031248603016138077,0.012487373314797878,0.27828648686408997,0.38513660430908203,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,median,data/processed/composites/ndvi_2019_june_median.tif,32,higher,23.973583221435547,74.9174575805664,0.120362289249897,0.03391825035214424,-0.21653234958648682,0.5965049266815186,0.13543930649757385,-0.006011291407048702,0.018646840006113052,0.2202802449464798,0.37983861565589905,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,min,data/processed/composites/ndvi_2019_june_min.tif,32,higher,23.973583221435547,74.9174575805664,-0.04094061627984047,0.0009153923601843417,-0.9546226859092712,0.026476236060261726,0.0606706365942955,-0.1296447515487671,-0.09597320854663849,0.000999468844383955,0.01758844219148159,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,max,data/processed/composites/ndvi_2019_june_max.tif,32,higher,23.973583221435547,74.9174575805664,0.42003947496414185,0.30000001192092896,0.01847834512591362,0.9999916553497314,0.25645238161087036,0.028050918132066727,0.30000001192092896,0.6536042094230652,0.8707024455070496,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,std,data/processed/composites/ndvi_2019_june_std.tif,32,higher,23.973583221435547,74.9174575805664,0.16975611448287964,0.12724575400352478,0.004597887862473726,0.4561963975429535,0.10171294957399368,0.0503213033080101,0.09236133843660355,0.2637292444705963,0.3535757064819336,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,valid_count,data/processed/composites/ndvi_2019_june_valid_count.tif,32,higher,23.973583221435547,74.9174575805664,23.973583221435547,24.0,13.0,32.0,0.6294761896133423,24.0,24.0,24.0,24.0,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2019_june_observation_coverage.tif,32,higher,23.973583221435547,74.9174575805664,74.9174575805664,75.0,40.625,100.0,1.9671134948730469,75.0,75.0,75.0,75.0,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,mean,data/processed/composites/ndvi_2020_june_mean.tif,50,higher,38.00270462036133,76.00540924072266,0.1806681603193283,0.1671258956193924,0.034692633897066116,0.4231506586074829,0.05194315314292908,0.11371087282896042,0.1402382254600525,0.2209472358226776,0.2743723690509796,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,median,data/processed/composites/ndvi_2020_june_median.tif,50,higher,38.00270462036133,76.00540924072266,0.12155196070671082,0.13399870693683624,0.022383004426956177,0.31323444843292236,0.06376233696937561,0.037708207964897156,0.04415517672896385,0.17334944009780884,0.21147873997688293,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,min,data/processed/composites/ndvi_2020_june_min.tif,50,higher,38.00270462036133,76.00540924072266,0.0004935868782922626,0.01195546519011259,-0.9324595928192139,0.029999999329447746,0.04099394008517265,-0.07202012836933136,0.0009997155284509063,0.02252727374434471,0.029999999329447746,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,max,data/processed/composites/ndvi_2020_june_max.tif,50,higher,38.00270462036133,76.00540924072266,0.4674602746963501,0.3894928991794586,0.30000001192092896,0.9998051524162292,0.18668566644191742,0.30000001192092896,0.30000001192092896,0.6310616731643677,0.7993558049201965,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,std,data/processed/composites/ndvi_2020_june_std.tif,50,higher,38.00270462036133,76.00540924072266,0.1705903559923172,0.14188851416110992,0.09166105091571808,0.4041384756565094,0.05435492470860481,0.11787248402833939,0.12968900799751282,0.20823721587657928,0.2797527313232422,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,valid_count,data/processed/composites/ndvi_2020_june_valid_count.tif,50,higher,38.00270462036133,76.00540924072266,38.00270462036133,38.0,32.0,50.0,0.6853717565536499,38.0,38.0,38.0,38.0,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2020_june_observation_coverage.tif,50,higher,38.00270462036133,76.00540924072266,76.00540924072266,76.0,64.0,100.0,1.3707435131072998,76.0,76.0,76.0,76.0,34751,34751,34751,94839,100.0,100.0
ndvi,2021,june,Early Growing Season,mean,data/processed/composites/ndvi_2021_june_mean.tif,46,higher,32.027767181396484,69.62557220458984,0.16656722128391266,0.14115746319293976,-0.04316896200180054,0.42471033334732056,0.1016339585185051,0.029139168560504913,0.08357713371515274,0.25538408756256104,0.34172821044921875,34751,34751,34751,94839,100.0,100.0
