variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
ndvi,2019,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2019_june_observation_coverage.tif,32,higher,23.973583221435547,74.9174575805664,74.9174575805664,75.0,40.625,100.0,1.9671134948730469,75.0,75.0,75.0,75.0,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2020_june_observation_coverage.tif,50,higher,38.00270462036133,76.00540924072266,76.00540924072266,76.0,64.0,100.0,1.3707435131072998,76.0,76.0,76.0,76.0,34751,34751,34751,94839,100.0,100.0
ndvi,2021,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2021_june_observation_coverage.tif,46,higher,32.027767181396484,69.62557220458984,69.62557220458984,69.56521606445312,63.043479919433594,100.0,1.5719488859176636,69.56521606445312,69.56521606445312,69.56521606445312,69.56521606445312,34751,34751,34751,94839,100.0,100.0
ndvi,2022,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2022_june_observation_coverage.tif,54,higher,43.99064636230469,81.46416473388672,81.46416473388672,81.48148345947266,70.37036895751953,100.0,1.0738776922225952,81.48148345947266,81.48148345947266,81.48148345947266,81.48148345947266,34751,34751,34751,94839,100.0,100.0
ndvi,2023,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2023_june_observation_coverage.tif,60,higher,47.97298049926758,79.95496368408203,79.95496368408203,80.0,71.66666412353516,100.0,1.2234416007995605,80.0,80.0,80.0,80.0,34751,34751,34751,94839,100.0,100.0
ndvi,2024,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2024_june_observation_coverage.tif,24,higher,18.013063430786133,75.05442810058594,75.05442810058594,75.0,62.5,100.0,1.295624852180481,75.0,75.0,75.0,75.0,34751,34751,34751,94839,100.0,100.0
ndvi,2025,june,Early Growing Season,observation_coverage,data/processed/composites/ndvi_2025_june_observation_coverage.tif,34,higher,29.982906341552734,88.1850357055664,88.1850357055664,88.23529815673828,67.64705657958984,100.0,0.9492544531822205,88.23529815673828,88.23529815673828,88.23529815673828,88.23529815673828,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,observation_coverage,data/processed/composites/et_2019_june_observation_coverage.tif,13,medium,8.199102401733398,63.07001876831055,63.07001876831055,61.5384635925293,30.76923179626465,84.61538696289062,10.241280555725098,46.153846740722656,53.84615707397461,69.23077392578125,76.92308044433594,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,observation_coverage,data/processed/composites/et_2020_june_observation_coverage.tif,15,higher,6.717792510986328,44.785282135009766,44.785282135009766,46.66666793823242,20.0,73.33333587646484,9.858160972595215,26.666667938232422,40.0,53.333335876464844,60.000003814697266,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,observation_coverage,data/processed/composites/et_2021_june_observation_coverage.tif,14,medium,10.094932556152344,72.10665893554688,72.10665893554688,71.42857360839844,42.85714340209961,85.71428680419922,6.930328845977783,57.142860412597656,64.28571319580078,78.57142639160156,78.57142639160156,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,observation_coverage,data/processed/composites/et_2022_june_observation_coverage.tif,22,higher,13.191678047180176,59.9621696472168,59.9621696472168,59.09090805053711,31.81818199157715,72.7272720336914,6.895545959472656,45.45454788208008,54.54545593261719,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,observation_coverage,data/processed/composites/et_2023_june_observation_coverage.tif,22,higher,12.181807518005371,55.37185287475586,55.37185287475586,59.09090805053711,18.18181800842285,81.81818389892578,12.444293975830078,27.272727966308594,50.0,63.6363639831543,72.7272720336914,34751,34751,34751,94839,100.0,100.0
et,2024,june,Early Growing Season,observation_coverage,data/processed/composites/et_2024_june_observation_coverage.tif,2,low,1.1191332340240479,55.956661224365234,55.956661224365234,50.0,0.0,100.0,17.234460830688477,50.0,50.0,50.0,100.0,34751,34751,34751,94839,100.0,100.0
et,2025,june,Early Growing Season,observation_coverage,data/processed/composites/et_2025_june_observation_coverage.tif,6,medium,4.623349189758301,77.0558090209961,77.0558090209961,83.33332824707031,50.0,100.0,13.903949737548828,50.0,66.66667175292969,83.33332824707031,100.0,34751,34751,34751,94839,100.0,100.0
esi,2019,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2019_june_observation_coverage.tif,14,medium,8.201691627502441,58.58351516723633,58.58351516723633,57.142860412597656,28.571430206298828,78.57142639160156,9.521788597106934,42.85714340209961,50.0,64.28571319580078,71.42857360839844,34751,34751,34751,94839,100.0,100.0
esi,2020,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2020_june_observation_coverage.tif,15,higher,6.717792510986328,44.785282135009766,44.785282135009766,46.66666793823242,20.0,73.33333587646484,9.858160972595215,26.666667938232422,40.0,53.333335876464844,60.000003814697266,34751,34751,34751,94839,100.0,100.0
esi,2021,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2021_june_observation_coverage.tif,14,medium,10.094932556152344,72.10665893554688,72.10665893554688,71.42857360839844,42.85714340209961,85.71428680419922,6.930328845977783,57.142860412597656,64.28571319580078,78.57142639160156,78.57142639160156,34751,34751,34751,94839,100.0,100.0
esi,2022,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2022_june_observation_coverage.tif,22,higher,13.191678047180176,59.9621696472168,59.9621696472168,59.09090805053711,31.81818199157715,72.7272720336914,6.895545959472656,45.45454788208008,54.54545593261719,63.6363639831543,68.18181610107422,34751,34751,34751,94839,100.0,100.0
esi,2023,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2023_june_observation_coverage.tif,22,higher,12.181807518005371,55.37185287475586,55.37185287475586,59.09090805053711,18.18181800842285,81.81818389892578,12.444293975830078,27.272727966308594,50.0,63.6363639831543,72.7272720336914,34751,34751,34751,94839,100.0,100.0
esi,2024,june,Early Growing Season,observation_coverage,data/processed/composites/esi_2024_june_observation_coverage.tif,2,low,1.1191332340240479,55.956661224365234,55.956661224365234,50.0,0.0,100.0,17.234460830688477,50.0,50.0,50.0,100.0,34751,34751,34751,94839,100.0,100.0
