product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
esi,raster,2019,1,January,1,1,3,0,0,99.84173117320366,99.84173117320366,99.84173117320366,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
esi,,2019,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2019,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2019,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,raster,2020,1,January,1,1,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
esi,raster,2020,2,February,3,2,3,2,2,81.98037466547726,49.08347961209749,96.85764438433426,0,low_observation_count,0,3,0,0,0,0,2,0,0,0
esi,raster,2020,3,March,3,1,3,0,0,95.04282850373609,85.12848551120831,100.0,2,low_observation_count,0,0,3,0,0,0,0,1,0,0
esi,raster,2020,5,May,1,1,3,1,0,100.0,100.0,100.0,0,low_observation_count,1,0,0,0,0,1,0,0,0,0
esi,raster,2021,1,January,3,0,3,0,0,41.41175793502345,3.539466490172945,20.69580731489741,1,no_usable_records,0,1,2,0,0,0,0,0,0,0
esi,raster,2021,3,March,5,5,3,2,0,97.42971425282727,87.76438088112573,99.78130125751775,0,time_bin_limited,2,0,3,0,0,2,0,3,0,0
esi,raster,2022,1,January,2,1,3,0,0,50.418692987252165,0.8373859745043307,50.418692987252165,0,low_observation_count,0,0,2,0,0,0,0,1,0,0
esi,raster,2022,3,March,2,2,3,0,0,91.12399643175736,82.85516963540618,91.12399643175736,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
esi,raster,2022,5,May,5,2,3,1,0,64.18290121147592,28.804926476935915,63.88017611004,0,low_observation_count,1,0,4,0,0,1,0,1,0,0
esi,raster,2023,1,January,3,3,3,1,1,99.11177615991865,97.33532847975596,100.0,0,time_bin_limited,0,1,2,0,0,0,1,2,0,0
esi,raster,2023,3,March,6,4,3,1,1,59.04194603512608,4.333688239187362,80.70990762855745,0,time_bin_limited,1,1,4,0,0,0,1,3,0,0
esi,raster,2023,5,May,3,2,3,1,0,62.86821482355424,16.192339788783055,84.2680786164427,0,low_observation_count,2,0,1,0,0,1,0,1,0,0
esi,,2024,1,January,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,raster,2024,2,February,2,2,3,2,2,92.30237978763202,84.60475957526403,92.30237978763202,0,low_observation_count,0,2,0,0,0,0,2,0,0,0
esi,,2024,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
