product,source_type,year,month,month_label,total_records,usable_records,min_required_usable_records,usable_daytime_records,usable_midday_afternoon_records,mean_coverage_percent,min_coverage_percent,median_coverage_percent,tiny_footprint_records,status,total_morning,total_midday_afternoon,total_evening,total_night,total_unknown,usable_morning,usable_midday_afternoon,usable_evening,usable_night,usable_unknown
esi,raster,2019,1,January,1,1,3,0,0,99.84173117320366,99.84173117320366,99.84173117320366,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
esi,raster,2019,2,February,14,10,3,8,6,93.7140555050831,27.5243877874018,100.0,3,usable,2,9,3,0,0,2,6,2,0,0
esi,,2019,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2019,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2019,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,raster,2019,6,June,14,7,3,7,4,69.49739873222254,0.6704843026099968,85.09539293833271,2,usable,4,7,3,0,0,3,4,0,0,0
esi,raster,2020,1,January,1,1,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
esi,raster,2020,2,February,3,2,3,2,2,81.98037466547726,49.08347961209749,96.85764438433426,0,low_observation_count,0,3,0,0,0,0,2,0,0,0
esi,raster,2020,3,March,3,1,3,0,0,95.04282850373609,85.12848551120831,100.0,2,low_observation_count,0,0,3,0,0,0,0,1,0,0
esi,raster,2020,4,April,14,11,3,9,4,84.11083750930085,1.0560847169865617,100.0,1,usable,5,7,2,0,0,5,4,2,0,0
esi,raster,2020,5,May,1,1,3,1,0,100.0,100.0,100.0,0,low_observation_count,1,0,0,0,0,1,0,0,0,0
esi,raster,2020,6,June,15,5,3,5,2,51.434682934783645,1.1021265575091364,50.89062185260856,1,usable,5,8,2,0,0,3,2,0,0,0
esi,raster,2021,1,January,3,0,3,0,0,41.41175793502345,3.539466490172945,20.69580731489741,1,no_usable_records,0,1,2,0,0,0,0,0,0,0
esi,raster,2021,2,February,15,14,3,13,10,99.90369581690695,98.56982532876752,100.0,1,usable,3,11,1,0,0,3,10,1,0,0
esi,raster,2021,3,March,5,5,3,2,0,97.42971425282727,87.76438088112573,99.78130125751775,0,time_bin_limited,2,0,3,0,0,2,0,3,0,0
esi,raster,2021,4,April,16,12,3,11,5,80.22826681246583,0.5927886967281517,99.98848953986935,1,usable,8,7,1,0,0,6,5,1,0,0
esi,raster,2021,5,May,9,5,3,3,0,74.42471679472054,25.82083968806653,84.75151794192973,0,usable_with_daytime_fallback,5,0,4,0,0,3,0,2,0,0
esi,raster,2021,6,June,14,9,3,8,2,79.23101904570062,3.320767747690714,94.38145664872953,1,usable,7,3,4,0,0,6,2,1,0,0
esi,raster,2022,1,January,2,1,3,0,0,50.418692987252165,0.8373859745043307,50.418692987252165,0,low_observation_count,0,0,2,0,0,0,0,1,0,0
esi,raster,2022,2,February,15,13,3,10,7,96.6071000354906,84.38030560271646,100.0,2,usable,3,9,3,0,0,3,7,3,0,0
esi,raster,2022,3,March,2,2,3,0,0,91.12399643175736,82.85516963540618,91.12399643175736,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
esi,raster,2022,4,April,21,17,3,15,9,84.4233327989191,2.6272625248194297,99.95395815947742,1,usable,6,12,3,0,0,6,9,2,0,0
esi,raster,2022,5,May,5,2,3,1,0,64.18290121147592,28.804926476935915,63.88017611004,0,low_observation_count,1,0,4,0,0,1,0,1,0,0
esi,raster,2022,6,June,22,11,3,9,4,59.962172442388834,0.0345313803919311,65.74918707375326,0,usable,7,9,6,0,0,5,4,2,0,0
esi,raster,2023,1,January,3,3,3,1,1,99.11177615991865,97.33532847975596,100.0,0,time_bin_limited,0,1,2,0,0,0,1,2,0,0
esi,raster,2023,2,February,20,16,3,13,8,86.21190757100516,10.845731058099048,100.0,1,usable,7,10,3,0,0,5,8,3,0,0
esi,raster,2023,3,March,6,4,3,1,1,59.04194603512608,4.333688239187362,80.70990762855745,0,time_bin_limited,1,1,4,0,0,0,1,3,0,0
esi,raster,2023,4,April,24,19,3,16,9,78.50805252606641,0.8863054300595666,90.55278984777416,0,usable,8,13,3,0,0,7,9,3,0,0
esi,raster,2023,5,May,3,2,3,1,0,62.86821482355424,16.192339788783055,84.2680786164427,0,low_observation_count,2,0,1,0,0,1,0,1,0,0
esi,raster,2023,6,June,22,10,3,10,3,59.857310647782306,0.0374089954245921,66.09737849270525,1,usable,10,10,2,0,0,7,3,0,0,0
esi,,2024,1,January,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,raster,2024,2,February,2,2,3,2,2,92.30237978763202,84.60475957526403,92.30237978763202,0,low_observation_count,0,2,0,0,0,0,2,0,0,0
esi,,2024,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2024,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,,2024,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
esi,raster,2024,6,June,2,1,3,1,1,55.95666311760812,12.64999568357745,55.95666311760812,0,low_observation_count,0,2,0,0,0,0,1,0,0,0
esi,raster,2025,1,January,2,2,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
esi,raster,2025,2,February,11,10,3,10,6,90.52375209608095,30.459555120715955,99.3439037725533,0,usable,5,6,0,0,0,4,6,0,0,0
esi,raster,2025,3,March,1,1,3,1,1,93.55701994187216,93.55701994187216,93.55701994187216,0,low_observation_count,0,1,0,0,0,0,1,0,0,0
esi,raster,2025,4,April,9,8,3,7,2,98.27854674046151,84.50692066415355,100.0,1,usable,6,2,1,0,0,5,2,1,0,0
esi,raster,2025,5,May,3,2,3,2,2,66.49880578976143,0.0057552300653218,99.490662139219,0,low_observation_count,0,2,1,0,0,0,2,0,0,0
esi,raster,2025,6,June,6,4,3,4,1,77.05581613958351,38.75571925987742,87.40755661707577,0,usable_with_daytime_fallback,4,2,0,0,0,3,1,0,0,0
et,raster,2019,1,January,1,1,3,0,0,99.84173117320366,99.84173117320366,99.84173117320366,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
et,raster,2019,2,February,14,10,3,8,6,93.7140555050831,27.5243877874018,100.0,3,usable,2,9,3,0,0,2,6,2,0,0
et,,2019,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,,2019,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,,2019,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,raster,2019,6,June,13,7,3,7,4,67.15104478854734,0.6704843026099968,73.86262265834077,1,usable,3,7,3,0,0,3,4,0,0,0
et,raster,2020,1,January,1,1,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,1,0,0,0,0,1,0,0
et,raster,2020,2,February,3,2,3,2,2,81.98037466547726,49.08347961209749,96.85764438433426,0,low_observation_count,0,3,0,0,0,0,2,0,0,0
et,raster,2020,3,March,3,1,3,0,0,95.04282850373609,85.12848551120831,100.0,2,low_observation_count,0,0,3,0,0,0,0,1,0,0
et,raster,2020,4,April,14,11,3,9,4,84.11083750930085,1.0560847169865617,100.0,1,usable,5,7,2,0,0,5,4,2,0,0
et,raster,2020,5,May,1,1,3,1,0,100.0,100.0,100.0,0,low_observation_count,1,0,0,0,0,1,0,0,0,0
et,raster,2020,6,June,15,5,3,5,2,51.434682934783645,1.1021265575091364,50.89062185260856,1,usable,5,8,2,0,0,3,2,0,0,0
et,raster,2021,1,January,3,0,3,0,0,41.41175793502345,3.539466490172945,20.69580731489741,1,no_usable_records,0,1,2,0,0,0,0,0,0,0
et,raster,2021,2,February,15,14,3,13,10,99.90369581690695,98.56982532876752,100.0,1,usable,3,11,1,0,0,3,10,1,0,0
et,raster,2021,3,March,5,5,3,2,0,97.42971425282727,87.76438088112573,99.78130125751775,0,time_bin_limited,2,0,3,0,0,2,0,3,0,0
et,raster,2021,4,April,16,12,3,11,5,80.22826681246583,0.5927886967281517,99.98848953986935,1,usable,8,7,1,0,0,6,5,1,0,0
et,raster,2021,5,May,9,5,3,3,0,74.42471679472054,25.82083968806653,84.75151794192973,0,usable_with_daytime_fallback,5,0,4,0,0,3,0,2,0,0
et,raster,2021,6,June,14,9,3,8,2,79.23101904570062,3.320767747690714,94.38145664872953,1,usable,7,3,4,0,0,6,2,1,0,0
et,raster,2022,1,January,2,1,3,0,0,50.418692987252165,0.8373859745043307,50.418692987252165,0,low_observation_count,0,0,2,0,0,0,0,1,0,0
et,raster,2022,2,February,15,13,3,10,7,96.6071000354906,84.38030560271646,100.0,2,usable,3,9,3,0,0,3,7,3,0,0
et,raster,2022,3,March,2,2,3,0,0,91.12399643175736,82.85516963540618,91.12399643175736,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
et,raster,2022,4,April,21,17,3,15,9,84.4233327989191,2.6272625248194297,99.95395815947742,1,usable,6,12,3,0,0,6,9,2,0,0
et,raster,2022,5,May,5,2,3,1,0,64.18290121147592,28.804926476935915,63.88017611004,0,low_observation_count,1,0,4,0,0,1,0,1,0,0
et,raster,2022,6,June,22,11,3,9,4,59.962172442388834,0.0345313803919311,65.74918707375326,0,usable,7,9,6,0,0,5,4,2,0,0
et,raster,2023,1,January,3,3,3,1,1,99.11177615991865,97.33532847975596,100.0,0,time_bin_limited,0,1,2,0,0,0,1,2,0,0
et,raster,2023,2,February,20,16,3,13,8,86.21190757100516,10.845731058099048,100.0,1,usable,7,10,3,0,0,5,8,3,0,0
et,raster,2023,3,March,6,4,3,1,1,59.04194603512608,4.333688239187362,80.70990762855745,0,time_bin_limited,1,1,4,0,0,0,1,3,0,0
et,raster,2023,4,April,24,19,3,16,9,78.50805252606641,0.8863054300595666,90.55278984777416,0,usable,8,13,3,0,0,7,9,3,0,0
et,raster,2023,5,May,3,2,3,1,0,62.86821482355424,16.192339788783055,84.2680786164427,0,low_observation_count,2,0,1,0,0,1,0,1,0,0
et,raster,2023,6,June,22,10,3,10,3,59.857310647782306,0.0374089954245921,66.09737849270525,1,usable,10,10,2,0,0,7,3,0,0,0
et,,2024,1,January,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,raster,2024,2,February,2,2,3,2,2,92.30237978763202,84.60475957526403,92.30237978763202,0,low_observation_count,0,2,0,0,0,0,2,0,0,0
et,,2024,3,March,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,,2024,4,April,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,,2024,5,May,0,0,3,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
et,raster,2024,6,June,2,1,3,1,1,55.95666311760812,12.64999568357745,55.95666311760812,0,low_observation_count,0,2,0,0,0,0,1,0,0,0
et,raster,2025,1,January,2,2,3,0,0,100.0,100.0,100.0,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
et,raster,2025,2,February,11,10,3,10,6,90.52375209608095,30.459555120715955,99.3439037725533,0,usable,5,6,0,0,0,4,6,0,0,0
et,raster,2025,3,March,1,1,3,1,1,93.55701994187216,93.55701994187216,93.55701994187216,0,low_observation_count,0,1,0,0,0,0,1,0,0,0
et,raster,2025,4,April,9,8,3,7,2,98.27854674046151,84.50692066415355,100.0,1,usable,6,2,1,0,0,5,2,1,0,0
et,raster,2025,5,May,3,2,3,2,2,66.49880578976143,0.0057552300653218,99.490662139219,0,low_observation_count,0,2,1,0,0,0,2,0,0,0
et,raster,2025,6,June,6,4,3,4,1,77.05581613958351,38.75571925987742,87.40755661707577,0,usable_with_daytime_fallback,4,2,0,0,0,3,1,0,0,0
ndvi,raster,2019,1,January,2,2,5,0,0,99.96834623464073,99.94532531437945,99.96834623464073,0,low_observation_count,0,0,2,0,0,0,0,2,0,0
ndvi,raster,2019,2,February,48,32,5,30,24,99.96852608558027,99.78130125751775,99.99712238496734,16,usable,8,36,4,0,0,6,24,2,0,0
ndvi,,2019,3,March,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,,2019,4,April,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,,2019,5,May,0,0,5,0,0,,,,0,missing,0,0,0,0,0,0,0,0,0,0
ndvi,raster,2019,6,June,32,24,5,20,14,99.85270208051567,99.26045293660614,100.0,8,usable,8,18,6,0,0,6,14,4,0,0
ndvi,raster,2020,1,January,4,2,5,0,0,99.97841788725503,99.91367154902017,100.0,2,low_observation_count,0,0,4,0,0,0,0,2,0,0
ndvi,raster,2020,2,February,12,10,5,10,10,99.95683577451008,99.81007740784436,99.99856119248366,2,usable,0,10,2,0,0,0,10,0,0,0
ndvi,raster,2020,3,March,14,10,5,0,0,99.92929288776891,99.59425628039482,99.97554027222239,4,usable,0,0,14,0,0,0,0,10,0,0
ndvi,raster,2020,4,April,62,44,5,36,26,99.95502566182826,99.44174268366378,100.0,18,usable,16,32,14,0,0,10,26,8,0,0
ndvi,raster,2020,5,May,4,2,5,2,0,99.95683577451008,99.82734309804034,100.0,2,low_observation_count,4,0,0,0,0,2,0,0,0,0
ndvi,raster,2020,6,June,50,38,5,32,16,99.94325343155593,99.16261402549569,100.0,12,usable,18,26,6,0,0,16,16,6,0,0
