product,source_type,year,month,time_bin,total_records,usable_records,mean_coverage_percent,min_coverage_percent
esi,raster,2019,1,evening,1,1,99.84173117320366,99.84173117320366
esi,raster,2019,2,evening,3,2,99.85803765838874,99.5798682052315
esi,raster,2019,2,midday_afternoon,9,6,90.26918489955524,27.5243877874018
esi,raster,2019,2,morning,2,2,100.0,100.0
esi,raster,2019,6,evening,3,0,42.526905190339946,20.32171736065149
esi,raster,2019,6,midday_afternoon,7,4,64.15724932889907,0.6704843026099968
esi,raster,2019,6,morning,4,3,99.07053034445052,96.32816321832463
esi,raster,2020,1,evening,1,1,100.0,100.0
esi,raster,2020,2,midday_afternoon,3,2,81.98037466547726,49.08347961209749
esi,raster,2020,3,evening,3,1,95.04282850373609,85.12848551120831
esi,raster,2020,4,evening,2,2,91.12399643175736,82.24799286351472
esi,raster,2020,4,midday_afternoon,7,4,72.98495007337918,1.0560847169865617
esi,raster,2020,4,morning,5,5,96.88181635060862,84.40908175304308
esi,raster,2020,5,morning,1,1,100.0,100.0
esi,raster,2020,6,evening,2,0,7.79114270092947,4.540876521538949
esi,raster,2020,6,midday_afternoon,8,2,40.134456562401084,1.1021265575091364
esi,raster,2020,6,morning,5,3,86.97246122413745,34.86230612068717
esi,raster,2021,1,evening,2,0,12.117636902535178,3.539466490172945
esi,raster,2021,1,midday_afternoon,1,0,100.0,100.0
esi,raster,2021,2,evening,1,1,100.0,100.0
esi,raster,2021,2,midday_afternoon,11,10,99.99869199316696,99.98561192483668
esi,raster,2021,2,morning,3,3,99.52327510958918,98.56982532876752
esi,raster,2021,3,evening,3,3,95.84856071288117,87.76438088112573
esi,raster,2021,3,morning,2,2,99.8014445627464,99.6028891254928
esi,raster,2021,4,evening,1,1,86.50398549682023,86.50398549682023
esi,raster,2021,4,midday_afternoon,7,5,82.5875514373687,0.5927886967281517
esi,raster,2021,4,morning,8,6,77.37942793013151,4.230094098011568
esi,raster,2021,5,evening,4,2,82.35878104227217,59.70475669764899
esi,raster,2021,5,morning,5,3,68.07746539667923,25.82083968806653
esi,raster,2021,6,evening,4,1,53.78334436419096,3.320767747690714
esi,raster,2021,6,midday_afternoon,3,2,96.27540694272587,88.82622082817761
esi,raster,2021,6,morning,7,6,86.46780976498107,30.997669131823542
esi,raster,2022,1,evening,2,1,50.418692987252165,0.8373859745043307
esi,raster,2022,2,evening,3,3,99.17700210065898,98.59572386406148
esi,raster,2022,2,midday_afternoon,9,7,96.34542890852062,84.38030560271646
esi,raster,2022,2,morning,3,3,94.8222113512321,84.4666340536963
esi,raster,2022,3,evening,2,2,91.12399643175736,82.85516963540618
esi,raster,2022,4,evening,3,2,99.98465271982582,99.95395815947742
esi,raster,2022,4,midday_afternoon,12,9,73.89451622495277,2.6272625248194297
esi,raster,2022,4,morning,6,6,97.70030598639848,90.82328566084428
esi,raster,2022,5,evening,4,1,55.22862651434491,28.804926476935915
esi,raster,2022,5,morning,1,1,100.0,100.0
esi,raster,2022,6,evening,6,2,36.429647108476495,0.1841673620902995
esi,raster,2022,6,midday_afternoon,9,4,63.18667088716872,0.0345313803919311
esi,raster,2022,6,morning,7,5,75.98712472816815,5.99982734309804
esi,raster,2023,1,evening,2,2,100.0,100.0
esi,raster,2023,1,midday_afternoon,1,1,97.33532847975596,97.33532847975596
esi,raster,2023,2,evening,3,3,95.17040277018407,85.5112083105522
esi,raster,2023,2,midday_afternoon,10,8,90.98932404822884,18.20667031164571
esi,raster,2023,2,morning,7,5,75.54767180389464,10.845731058099048
esi,raster,2023,3,evening,4,3,65.79163189548501,17.423959022761935
esi,raster,2023,3,midday_afternoon,1,1,86.75146038962907,86.75146038962907
esi,raster,2023,3,morning,1,0,4.333688239187362,4.333688239187362
esi,raster,2023,4,evening,3,3,94.77137348565509,84.83784639290955
esi,raster,2023,4,midday_afternoon,13,9,69.9884674043691,0.8863054300595666
esi,raster,2023,4,morning,8,7,86.25363298897874,7.838623348968375
esi,raster,2023,5,evening,1,1,88.14422606543697,88.14422606543697
esi,raster,2023,5,morning,2,1,50.230209202612876,16.192339788783055
esi,raster,2023,6,evening,2,0,35.23207965238411,15.23984921297229
esi,raster,2023,6,midday_afternoon,10,3,51.686371186624356,7.286121262697476
esi,raster,2023,6,morning,10,7,72.95329630801992,0.0374089954245921
esi,raster,2024,2,midday_afternoon,2,2,92.30237978763202,84.60475957526403
esi,raster,2024,6,midday_afternoon,2,1,55.95666311760812,12.64999568357745
esi,raster,2025,1,evening,2,2,100.0,100.0
esi,raster,2025,2,midday_afternoon,6,6,95.63369879044247,75.45682138643492
esi,raster,2025,2,morning,5,4,84.39181606284713,30.459555120715955
esi,raster,2025,3,midday_afternoon,1,1,93.55701994187216,93.55701994187216
esi,raster,2025,4,evening,1,1,100.0,100.0
esi,raster,2025,4,midday_afternoon,2,2,100.0,100.0
esi,raster,2025,4,morning,6,5,97.41782011069226,84.50692066415355
esi,raster,2025,5,evening,1,0,0.0057552300653218,0.0057552300653218
esi,raster,2025,5,midday_afternoon,2,2,99.7453310696095,99.490662139219
esi,raster,2025,6,midday_afternoon,2,1,64.7636039250669,38.75571925987742
esi,raster,2025,6,morning,4,3,83.20192224684182,48.76694195850479
et,raster,2019,1,evening,1,1,99.84173117320366,99.84173117320366
et,raster,2019,2,evening,3,2,99.85803765838874,99.5798682052315
et,raster,2019,2,midday_afternoon,9,6,90.26918489955524,27.5243877874018
et,raster,2019,2,morning,2,2,100.0,100.0
et,raster,2019,6,evening,3,0,42.526905190339946,20.32171736065149
et,raster,2019,6,midday_afternoon,7,4,64.15724932889907,0.6704843026099968
et,raster,2019,6,morning,3,3,98.76070712593402,96.32816321832463
et,raster,2020,1,evening,1,1,100.0,100.0
et,raster,2020,2,midday_afternoon,3,2,81.98037466547726,49.08347961209749
et,raster,2020,3,evening,3,1,95.04282850373609,85.12848551120831
et,raster,2020,4,evening,2,2,91.12399643175736,82.24799286351472
et,raster,2020,4,midday_afternoon,7,4,72.98495007337918,1.0560847169865617
et,raster,2020,4,morning,5,5,96.88181635060862,84.40908175304308
et,raster,2020,5,morning,1,1,100.0,100.0
et,raster,2020,6,evening,2,0,7.79114270092947,4.540876521538949
et,raster,2020,6,midday_afternoon,8,2,40.134456562401084,1.1021265575091364
et,raster,2020,6,morning,5,3,86.97246122413745,34.86230612068717
et,raster,2021,1,evening,2,0,12.117636902535178,3.539466490172945
et,raster,2021,1,midday_afternoon,1,0,100.0,100.0
et,raster,2021,2,evening,1,1,100.0,100.0
et,raster,2021,2,midday_afternoon,11,10,99.99869199316696,99.98561192483668
et,raster,2021,2,morning,3,3,99.52327510958918,98.56982532876752
et,raster,2021,3,evening,3,3,95.84856071288117,87.76438088112573
et,raster,2021,3,morning,2,2,99.8014445627464,99.6028891254928
et,raster,2021,4,evening,1,1,86.50398549682023,86.50398549682023
et,raster,2021,4,midday_afternoon,7,5,82.5875514373687,0.5927886967281517
et,raster,2021,4,morning,8,6,77.37942793013151,4.230094098011568
et,raster,2021,5,evening,4,2,82.35878104227217,59.70475669764899
et,raster,2021,5,morning,5,3,68.07746539667923,25.82083968806653
et,raster,2021,6,evening,4,1,53.78334436419096,3.320767747690714
et,raster,2021,6,midday_afternoon,3,2,96.27540694272587,88.82622082817761
et,raster,2021,6,morning,7,6,86.46780976498107,30.997669131823542
et,raster,2022,1,evening,2,1,50.418692987252165,0.8373859745043307
et,raster,2022,2,evening,3,3,99.17700210065898,98.59572386406148
et,raster,2022,2,midday_afternoon,9,7,96.34542890852062,84.38030560271646
et,raster,2022,2,morning,3,3,94.8222113512321,84.4666340536963
et,raster,2022,3,evening,2,2,91.12399643175736,82.85516963540618
et,raster,2022,4,evening,3,2,99.98465271982582,99.95395815947742
et,raster,2022,4,midday_afternoon,12,9,73.89451622495277,2.6272625248194297
et,raster,2022,4,morning,6,6,97.70030598639848,90.82328566084428
et,raster,2022,5,evening,4,1,55.22862651434491,28.804926476935915
et,raster,2022,5,morning,1,1,100.0,100.0
et,raster,2022,6,evening,6,2,36.429647108476495,0.1841673620902995
et,raster,2022,6,midday_afternoon,9,4,63.18667088716872,0.0345313803919311
et,raster,2022,6,morning,7,5,75.98712472816815,5.99982734309804
et,raster,2023,1,evening,2,2,100.0,100.0
et,raster,2023,1,midday_afternoon,1,1,97.33532847975596,97.33532847975596
et,raster,2023,2,evening,3,3,95.17040277018407,85.5112083105522
et,raster,2023,2,midday_afternoon,10,8,90.98932404822884,18.20667031164571
et,raster,2023,2,morning,7,5,75.54767180389464,10.845731058099048
et,raster,2023,3,evening,4,3,65.79163189548501,17.423959022761935
et,raster,2023,3,midday_afternoon,1,1,86.75146038962907,86.75146038962907
et,raster,2023,3,morning,1,0,4.333688239187362,4.333688239187362
et,raster,2023,4,evening,3,3,94.77137348565509,84.83784639290955
et,raster,2023,4,midday_afternoon,13,9,69.9884674043691,0.8863054300595666
et,raster,2023,4,morning,8,7,86.25363298897874,7.838623348968375
et,raster,2023,5,evening,1,1,88.14422606543697,88.14422606543697
et,raster,2023,5,morning,2,1,50.230209202612876,16.192339788783055
et,raster,2023,6,evening,2,0,35.23207965238411,15.23984921297229
et,raster,2023,6,midday_afternoon,10,3,51.686371186624356,7.286121262697476
et,raster,2023,6,morning,10,7,72.95329630801992,0.0374089954245921
et,raster,2024,2,midday_afternoon,2,2,92.30237978763202,84.60475957526403
et,raster,2024,6,midday_afternoon,2,1,55.95666311760812,12.64999568357745
et,raster,2025,1,evening,2,2,100.0,100.0
et,raster,2025,2,midday_afternoon,6,6,95.63369879044247,75.45682138643492
et,raster,2025,2,morning,5,4,84.39181606284713,30.459555120715955
et,raster,2025,3,midday_afternoon,1,1,93.55701994187216,93.55701994187216
et,raster,2025,4,evening,1,1,100.0,100.0
et,raster,2025,4,midday_afternoon,2,2,100.0,100.0
et,raster,2025,4,morning,6,5,97.41782011069226,84.50692066415355
et,raster,2025,5,evening,1,0,0.0057552300653218,0.0057552300653218
et,raster,2025,5,midday_afternoon,2,2,99.7453310696095,99.490662139219
et,raster,2025,6,midday_afternoon,2,1,64.7636039250669,38.75571925987742
et,raster,2025,6,morning,4,3,83.20192224684182,48.76694195850479
ndvi,raster,2019,1,evening,2,2,99.96834623464073,99.94532531437945
ndvi,raster,2019,2,evening,4,2,99.96978504215706,99.93093723921614
ndvi,raster,2019,2,midday_afternoon,36,24,99.96650775836986,99.78130125751775
ndvi,raster,2019,2,morning,8,6,99.97697907973871,99.9194267790855
ndvi,raster,2019,6,evening,6,4,99.89065062875888,99.60864435555813
ndvi,raster,2019,6,midday_afternoon,18,14,99.87018758852663,99.47915167908836
