variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
ndvi,2019,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2019_apr_jun_mean.tif,32,higher,23.973583221435547,74.9174575805664,0.13654091954231262,0.07785406708717346,-0.22068308293819427,0.49118080735206604,0.14546245336532593,-0.031248603016138077,0.012487373314797878,0.27828648686408997,0.38513660430908203,34751,34751,34751,94839,100.0,100.0
ndvi,2020,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2020_apr_jun_mean.tif,116,higher,84.02489471435547,72.43526458740234,0.12037042528390884,0.0904344692826271,-0.017959052696824074,0.3925856053829193,0.07706201821565628,0.04019422084093094,0.06145905330777168,0.16879503428936005,0.27782344818115234,34751,34751,34751,94839,100.0,100.0
ndvi,2021,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2021_apr_jun_mean.tif,124,higher,92.0658950805664,74.24669647216797,0.1090310737490654,0.08382701873779297,-0.03523318096995354,0.41137513518333435,0.07279089093208313,0.01887500286102295,0.05659118667244911,0.16033267974853516,0.24617645144462585,34751,34751,34751,94839,100.0,100.0
ndvi,2022,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2022_apr_jun_mean.tif,136,higher,97.8806381225586,71.9710693359375,0.145346537232399,0.10644014179706573,-0.008124019019305706,0.41386833786964417,0.0998520702123642,0.03864949196577072,0.06028164550662041,0.2317182421684265,0.3285123109817505,34751,34751,34751,94839,100.0,100.0
ndvi,2023,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2023_apr_jun_mean.tif,138,higher,105.9804916381836,76.7974624633789,0.1631746143102646,0.13621872663497925,-0.03743186220526695,0.4176284670829773,0.07956402748823166,0.06921499967575073,0.10160848498344421,0.22117653489112854,0.31534162163734436,34751,34751,34751,94839,100.0,100.0
ndvi,2024,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2024_apr_jun_mean.tif,44,higher,32.02699279785156,72.78863525390625,0.12522590160369873,0.10452900826931,-0.019196586683392525,0.4008741080760956,0.0820930227637291,0.026285607367753983,0.05559063330292702,0.19095101952552795,0.27350515127182007,34751,34751,34751,94839,100.0,100.0
ndvi,2025,apr_jun,April–June available observation window,mean,data/processed/composites/ndvi_2025_apr_jun_mean.tif,70,higher,59.97298049926758,85.67567443847656,0.15239711105823517,0.12106212973594666,-0.16754546761512756,0.43392419815063477,0.10617756098508835,0.02714785560965538,0.059094298630952835,0.24827858805656433,0.3384256958961487,34751,34751,34751,94839,100.0,100.0
et,2019,apr_jun,April–June available observation window,mean,data/processed/composites/et_2019_apr_jun_mean.tif,13,medium,8.199102401733398,63.07001876831055,2.147244691848755,2.032862663269043,0.3460666537284851,4.320793151855469,0.6374657154083252,1.2490577697753906,1.6297829151153564,2.735060691833496,3.1458771228790283,34751,34751,34751,94839,100.0,100.0
et,2020,apr_jun,April–June available observation window,mean,data/processed/composites/et_2020_apr_jun_mean.tif,30,higher,18.495899200439453,61.65300369262695,1.1674408912658691,1.1442617177963257,0.5965304374694824,1.926068663597107,0.1974472552537918,0.87528395652771,1.0219395160675049,1.2998017072677612,1.522371530532837,34751,34751,34751,94839,100.0,100.0
et,2021,apr_jun,April–June available observation window,mean,data/processed/composites/et_2021_apr_jun_mean.tif,39,higher,28.63226890563965,73.41608428955078,1.1739436388015747,1.0969191789627075,0.3580564558506012,2.268415927886963,0.31053757667541504,0.7635987997055054,0.9386518001556396,1.4138720035552979,1.7292306423187256,34751,34751,34751,94839,100.0,100.0
et,2022,apr_jun,April–June available observation window,mean,data/processed/composites/et_2022_apr_jun_mean.tif,48,higher,33.1323127746582,69.02565002441406,1.6182425022125244,1.546446681022644,0.6108649969100952,2.7493703365325928,0.4392538070678711,0.9727444052696228,1.2676875591278076,2.006370782852173,2.346968650817871,34751,34751,34751,94839,100.0,100.0
et,2023,apr_jun,April–June available observation window,mean,data/processed/composites/et_2023_apr_jun_mean.tif,49,higher,32.909786224365234,67.16282653808594,1.4058345556259155,1.3752410411834717,0.6704698801040649,2.3777315616607666,0.24985384941101074,1.046476125717163,1.2274749279022217,1.5619385242462158,1.86769437789917,34751,34751,34751,94839,100.0,100.0
et,2024,apr_jun,April–June available observation window,mean,data/processed/composites/et_2024_apr_jun_mean.tif,2,low,1.1191332340240479,55.956661224365234,2.2552759647369385,2.166189670562744,0.0,6.110135555267334,1.0010713338851929,0.8075276613235474,1.4342305660247803,3.049820899963379,3.9264883995056152,34510,34510,34751,94839,99.30649477712872,99.30649477712872
et,2025,apr_jun,April–June available observation window,mean,data/processed/composites/et_2025_apr_jun_mean.tif,18,higher,14.465971946716309,80.36651611328125,1.9065580368041992,1.8231537342071533,0.4514784514904022,3.2074739933013916,0.6015585660934448,1.0101959705352783,1.4045472145080566,2.5062499046325684,2.808201789855957,34751,34751,34751,94839,100.0,100.0
esi,2019,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2019_apr_jun_mean.tif,14,medium,8.201691627502441,58.58351516723633,0.8599962592124939,0.9259312748908997,0.051831938326358795,1.0,0.14222025871276855,0.6388648748397827,0.760190486907959,0.9577207565307617,1.0,34751,34751,34751,94839,100.0,100.0
esi,2020,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2020_apr_jun_mean.tif,30,higher,18.495899200439453,61.65300369262695,0.7890731692314148,0.796970546245575,0.1992732286453247,1.0,0.08366230875253677,0.6642890572547913,0.7517639398574829,0.8378310203552246,0.9022619724273682,34751,34751,34751,94839,100.0,100.0
esi,2021,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2021_apr_jun_mean.tif,39,higher,28.63226890563965,73.41608428955078,0.8181294798851013,0.8358397483825684,0.17688147723674774,1.0,0.08923892676830292,0.6770237684249878,0.7805464267730713,0.8746172189712524,0.9195022583007812,34751,34751,34751,94839,100.0,100.0
esi,2022,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2022_apr_jun_mean.tif,48,higher,33.1323127746582,69.02565002441406,0.7957389950752258,0.8208339810371399,0.15738768875598907,1.0,0.11211138218641281,0.5726891756057739,0.7628797292709351,0.8641550540924072,0.9143988490104675,34751,34751,34751,94839,100.0,100.0
esi,2023,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2023_apr_jun_mean.tif,49,higher,32.909786224365234,67.16282653808594,0.7811392545700073,0.7917773723602295,0.18882516026496887,1.0,0.0834708958864212,0.6577473878860474,0.7412655353546143,0.8359715342521667,0.8828290104866028,34751,34751,34751,94839,100.0,100.0
esi,2024,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2024_apr_jun_mean.tif,2,low,1.1191332340240479,55.956661224365234,0.9247664213180542,0.9962561130523682,0.0,1.0,0.1403750479221344,0.6666356325149536,0.8947867751121521,1.0,1.0,34510,34510,34751,94839,99.30649477712872,99.30649477712872
esi,2025,apr_jun,April–June available observation window,mean,data/processed/composites/esi_2025_apr_jun_mean.tif,18,higher,14.465971946716309,80.36651611328125,0.7942256331443787,0.808883547782898,0.10110186040401459,1.0,0.10741612315177917,0.6329571008682251,0.7440939545631409,0.8642090559005737,0.9275966882705688,34751,34751,34751,94839,100.0,100.0
