variable,path,filename,datetime,date,year,month,day,hour_utc,minute_utc,second_utc,local_utc_offset_hours,local_hour,time_bin,parsed_token,date_parse_method,date_parse_ok,crs,epsg,original_width,original_height,driver,dtype,nodata,bounds,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent,pixel_size_x,pixel_size_y,aoi_footprint_pixel_count,read_ok,error
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190131T153850_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190131T153850_aid0001_32N.tif,2019-01-31T15:38:50,2019-01-31,2019,1,31,15,38,50,2,17.0,evening,20190131T153850,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.0003335404035169631,0.0,0.0,0.5440359711647034,0.01200073305517435,0.0,0.0,0.0,0.0,34696,34696,34751,94839,99.84173117320366,99.84173117320366,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190210T115446_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190210T115446_aid0001_32N.tif,2019-02-10T11:54:46,2019-02-10,2019,2,10,11,54,46,2,13.0,midday_afternoon,20190210T115446,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.9327636957168579,0.9931287169456482,0.0,1.0,0.10087966918945312,0.8330117464065552,0.8567925691604614,1.0,1.0,30269,30269,34751,94839,87.1025294236137,87.1025294236137,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190211T110310_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190211T110310_aid0001_32N.tif,2019-02-11T11:03:10,2019-02-11,2019,2,11,11,3,10,2,13.0,midday_afternoon,20190211T110310,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.7859203219413757,0.871588945388794,0.0,1.0,0.2729613482952118,0.0,0.7048906683921814,1.0,1.0,33985,33985,34751,94839,97.79574688498172,97.79574688498172,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190211T155330_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190211T155330_aid0001_32N.tif,2019-02-11T15:53:30,2019-02-11,2019,2,11,15,53,30,2,17.0,evening,20190211T155330,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.00031787314219400287,0.0,0.0,1.0,0.01782616414129734,0.0,0.0,0.0,0.0,34605,34605,34751,94839,99.5798682052315,99.5798682052315,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190213T105702_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190213T105702_aid0001_32N.tif,2019-02-13T10:57:02,2019-02-13,2019,2,13,10,57,2,2,12.0,midday_afternoon,20190213T105702,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.7408137917518616,0.9043847918510437,0.0,1.0,0.34737682342529297,0.0,0.6815851330757141,1.0,1.0,34751,34751,34751,94839,100.0,100.0,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190214T145546_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190214T145546_aid0001_32N.tif,2019-02-14T14:55:46,2019-02-14,2019,2,14,14,55,46,2,16.0,evening,20190214T145546,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.3462015986442566,0.0,0.0,1.0,0.4539145827293396,0.0,0.0,0.9598609805107117,1.0,34749,34749,34751,94839,99.99424476993468,99.99424476993468,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190215T140410_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190215T140410_aid0001_32N.tif,2019-02-15T14:04:10,2019-02-15,2019,2,15,14,4,10,2,16.0,evening,20190215T140410,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.4213246703147888,0.17064648866653442,0.0,1.0,0.45776212215423584,0.0,0.0,1.0,1.0,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190217T090743_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190217T090743_aid0001_32N.tif,2019-02-17T09:07:43,2019-02-17,2019,2,17,9,7,43,2,11.0,midday_afternoon,20190217T090743,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.4669833183288574,0.008641321212053299,0.0,1.0,0.4948979616165161,0.0,0.0,1.0,1.0,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190219T121450_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190219T121450_aid0001_32N.tif,2019-02-19T12:14:50,2019-02-19,2019,2,19,12,14,50,2,14.0,midday_afternoon,20190219T121450,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.7636628150939941,0.9999999403953552,0.0,1.0,0.37275344133377075,0.0,0.7070623636245728,1.0,1.0,9565,9565,34751,94839,27.5243877874018,27.5243877874018,70.0,-70.0,34751,True,
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190220T080958_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190220T080958_aid0001_32N.tif,2019-02-20T08:09:58,2019-02-20,2019,2,20,8,9,58,2,10.0,morning,20190220T080958,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,303,313,GTiff,float32,,"[579360.0, 5158510.0, 600570.0, 5180420.0]",0.6040948033332825,0.8584902882575989,0.0,1.0,0.44488325715065,0.0,0.0,1.0,1.0,34751,34751,34751,94839,100.0,100.0,70.0,-70.0,34751,True,
