variable,dropped_year,n_years,slope_per_year,intercept,r2,p_value,first_year,last_year,first_value,last_value,net_change,slope_sign
ndvi,2019,6,0.003340495909963827,-6.56775321847016,0.10365053833874993,0.5337629886021094,2020,2025,0.1806681603193283,0.2051128447055816,0.0244446843862533,positive
ndvi,2020,6,0.00914061771971858,-18.30433068254203,0.46538400215164055,0.13545440751100957,2019,2025,0.1365409195423126,0.2051128447055816,0.06857192516326902,positive
ndvi,2021,6,0.007349330816209843,-14.678176423037593,0.3672516369968585,0.20226026257782792,2019,2025,0.1365409195423126,0.2051128447055816,0.06857192516326902,positive
ndvi,2022,6,0.007644114217588333,-15.280041271378092,0.4976910476655376,0.11734527903571595,2019,2025,0.1365409195423126,0.2051128447055816,0.06857192516326902,positive
ndvi,2023,6,0.007050401398113533,-14.07729512453026,0.3644459416682637,0.20446646419940398,2019,2025,0.1365409195423126,0.2051128447055816,0.06857192516326902,positive
ndvi,2024,6,0.010575467348098258,-21.196740917860456,0.659045091061379,0.04978776622888127,2019,2025,0.1365409195423126,0.2051128447055816,0.06857192516326902,positive
ndvi,2025,6,0.00740628455366498,-14.794833119995953,0.2734558508656264,0.2871040480607834,2019,2024,0.1365409195423126,0.166966050863266,0.030425131320953397,positive
et,2019,6,0.1533371346337438,-307.8380092155331,0.5926753203995021,0.07335562432729509,2020,2025,1.731376051902771,2.767418622970581,1.03604257106781,positive
et,2020,6,0.07937745366777646,-158.17201344626193,0.39019285715113206,0.18488651649422436,2019,2025,2.147244691848755,2.767418622970581,0.6201739311218262,positive
et,2021,6,0.10731601196788847,-214.71280871789682,0.4619660720879548,0.13747345798855617,2019,2025,2.147244691848755,2.767418622970581,0.6201739311218262,positive
et,2022,6,0.11073937586376299,-221.7070695303867,0.6056175170354441,0.06832864042072889,2019,2025,2.147244691848755,2.767418622970581,0.6201739311218262,positive
et,2023,6,0.11542786352381242,-231.10991206891825,0.5029597157949135,0.11455384967117363,2019,2025,2.147244691848755,2.767418622970581,0.6201739311218262,positive
et,2024,6,0.13400705712179645,-268.6492601121662,0.5895936069832357,0.07458473773846719,2019,2025,2.147244691848755,2.767418622970581,0.6201739311218262,positive
et,2025,6,0.07699408190590781,-153.46055331343263,0.24814683829176876,0.31459126683916966,2019,2024,2.147244691848755,2.2552759647369385,0.1080312728881836,positive
esi,2019,6,0.0015182937894525738,-2.2713885165349765,0.001617863692054411,0.939698522891884,2020,2025,0.7721589803695679,0.735104501247406,-0.037054479122161865,positive
esi,2020,6,-0.010243675538471912,21.5301267164097,0.09209572603307836,0.5587651081958694,2019,2025,0.8599962592124939,0.735104501247406,-0.12489175796508789,negative
esi,2021,6,-0.004500105144074094,9.903044975692135,0.020080450238660563,0.7888644971905501,2019,2025,0.8599962592124939,0.735104501247406,-0.12489175796508789,negative
esi,2022,6,-0.005547736372268707,12.031103318650306,0.03216849382853948,0.7338511408867905,2019,2025,0.8599962592124939,0.735104501247406,-0.12489175796508789,negative
esi,2023,6,-0.0033440304839101017,7.578467361306739,0.012299164810223306,0.8343295990152827,2019,2025,0.8599962592124939,0.735104501247406,-0.12489175796508789,negative
esi,2024,6,-0.018331635849815026,37.84902278865796,0.6434662300280741,0.05483734884425239,2019,2025,0.8599962592124939,0.735104501247406,-0.12489175796508789,negative
esi,2025,6,0.005707301412307637,-10.717133839352853,0.026049025043944685,0.7600064632269034,2019,2024,0.8599962592124939,0.9247664213180542,0.0647701621055603,positive
