variable,path,filename,datetime,date,year,month,day,hour_utc,minute_utc,second_utc,local_utc_offset_hours,local_hour,time_bin,parsed_token,date_parse_method,date_parse_ok,crs,epsg,original_width,original_height,driver,dtype,nodata,bounds,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent,pixel_size_x,pixel_size_y,aoi_footprint_pixel_count,read_ok,error,footprint_fraction_of_full_aoi
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190614T144037_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190614T144037_aid0001_32N.tif,2019-06-14T14:40:37,2019-06-14,2019,6,14,14,40,37,2,16.0,evening,20190614T144037,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.6753724813461304,1.0,0.0282576084136962,1.0,0.4523877501487732,0.0306218937039375,0.0562547892332077,1.0,1.0,50,50,94,2504,53.191489361702125,53.191489361702125,70.0,-70.0,94,True,,0.002704958130701275
esi,data/ESI/ECO_L4T_ESI.002_ESI_20190624T062441_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20190624T062441_aid0001_32N.tif,2019-06-24T06:24:41,2019-06-24,2019,6,24,6,24,41,2,8.0,morning,20190624T062441,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.6682888269424438,0.852471649646759,0.0480525903403759,1.0,0.3833604753017425,0.0580924823880195,0.2129427790641784,1.0,1.0,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
esi,data/ESI/ECO_L4T_ESI.002_ESI_20200627T083636_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20200627T083636_aid0001_32N.tif,2020-06-27T08:36:36,2020-06-27,2020,6,27,8,36,36,2,10.0,morning,20200627T083636,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.6780482530593872,0.8533942699432373,0.2853768765926361,0.9217609763145448,0.2683199346065521,0.2855368852615356,0.2875102460384369,0.8623812198638916,0.8725187182426453,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
esi,data/ESI/ECO_L4T_ESI.002_ESI_20210613T100603_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20210613T100603_aid0001_32N.tif,2021-06-13T10:06:03,2021-06-13,2021,6,13,10,6,3,2,12.0,midday_afternoon,20210613T100603,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.6927999258041382,0.9999999403953552,0.0592677593231201,1.0,0.4136205911636352,0.0720979198813438,0.1156624928116798,1.0,1.0,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
esi,data/ESI/ECO_L4T_ESI.002_ESI_20230623T092314_aid0001_32N.tif,ECO_L4T_ESI.002_ESI_20230623T092314_aid0001_32N.tif,2023-06-23T09:23:14,2023-06-23,2023,6,23,9,23,14,2,11.0,midday_afternoon,20230623T092314,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.663087010383606,0.782233715057373,0.341074138879776,1.0,0.2221572548151016,0.342007040977478,0.3478500247001648,0.7826341390609741,0.9999999403953552,93,93,94,2504,98.93617021276596,98.93617021276596,70.0,-70.0,94,True,,0.002704958130701275
et,data/ET/ECO_L3T_JET.002_ETdaily_20190614T144037_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20190614T144037_aid0001_32N.tif,2019-06-14T14:40:37,2019-06-14,2019,6,14,14,40,37,2,16.0,evening,20190614T144037,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",1.7489961385726929,1.907215595245361,1.0405189990997314,2.5346693992614746,0.4855944514274597,1.0578663349151611,1.1309186220169067,2.033807277679444,2.3787214756011963,50,50,94,2504,53.191489361702125,53.191489361702125,70.0,-70.0,94,True,,0.002704958130701275
et,data/ET/ECO_L3T_JET.002_ETdaily_20200627T083636_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20200627T083636_aid0001_32N.tif,2020-06-27T08:36:36,2020-06-27,2020,6,27,8,36,36,2,10.0,morning,20200627T083636,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",2.508640766143799,2.408566951751709,1.6710916757583618,3.4182205200195312,0.3956384062767029,2.05108380317688,2.176252841949463,2.71405291557312,3.245949506759644,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
et,data/ET/ECO_L3T_JET.002_ETdaily_20210613T100603_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20210613T100603_aid0001_32N.tif,2021-06-13T10:06:03,2021-06-13,2021,6,13,10,6,3,2,12.0,midday_afternoon,20210613T100603,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",2.3097290992736816,2.297823667526245,0.3505140244960785,4.443583488464356,0.6918919682502747,1.4794938564300537,1.7244181632995603,2.6617767810821533,3.660498857498169,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
et,data/ET/ECO_L3T_JET.002_ETdaily_20230623T092314_aid0001_32N.tif,ECO_L3T_JET.002_ETdaily_20230623T092314_aid0001_32N.tif,2023-06-23T09:23:14,2023-06-23,2023,6,23,9,23,14,2,11.0,midday_afternoon,20230623T092314,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",2.187978982925415,2.172106981277466,1.8343405723571775,2.509204864501953,0.1484290808439254,2.0144824981689453,2.066750288009644,2.2704105377197266,2.460427761077881,93,93,94,2504,98.93617021276596,98.93617021276596,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20190609T122043_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20190609T122043_aid0001_32N.tif,2019-06-09T12:20:43,2019-06-09,2019,6,9,12,20,43,2,14.0,midday_afternoon,20190609T122043,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0103612449020147,0.0100420918315649,0.0100418096408247,0.0137885175645351,0.0008758477633818,0.0100418105721473,0.0100418282672762,0.0100435726344585,0.0129514038562774,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
