variable,year,june_raster_count,tiny_footprint_count,mean_footprint_fraction,min_footprint_fraction
esi,2019,14,2,0.8575292797329573,0.002704958130701275
esi,2020,15,1,0.9335136638753802,0.002704958130701275
esi,2021,14,1,0.9287646398664787,0.002704958130701275
esi,2022,22,0,1.0,1.0
esi,2023,22,1,0.954668407187759,0.002704958130701275
esi,2024,2,0,1.0,1.0
esi,2025,6,0,1.0,1.0
et,2019,13,1,0.9232849967792848,0.002704958130701275
et,2020,15,1,0.9335136638753802,0.002704958130701275
et,2021,14,1,0.9287646398664787,0.002704958130701275
et,2022,22,0,1.0,1.0
et,2023,22,1,0.954668407187759,0.002704958130701275
et,2024,2,0,1.0,1.0
et,2025,6,0,1.0,1.0
ndvi,2019,32,8,0.7506762395326754,0.002704958130701275
ndvi,2020,50,12,0.7606491899513683,0.002704958130701275
ndvi,2021,46,14,0.6964754220397786,0.002704958130701275
ndvi,2022,54,10,0.8153157329871669,0.002704958130701275
ndvi,2023,60,12,0.8005409916261403,0.002704958130701275
ndvi,2024,24,6,0.7506762395326754,0.002704958130701275
ndvi,2025,34,4,0.8826711715447884,0.002704958130701275
