variable,year,season,season_label,metric,raster_path,observation_count,confidence_level,mean_valid_observations_per_aoi_pixel,mean_pixel_observation_coverage_percent,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
esi,2019,june,Early Growing Season,mean,data/processed/composites/esi_2019_june_mean.tif,14,medium,8.201691627502441,58.58351516723633,0.8599962592124939,0.9259312748908995,0.0518319383263587,1.0,0.1422202587127685,0.6388648748397827,0.760190486907959,0.9577207565307616,1.0,34751,34751,34751,94839,100.0,100.0
esi,2020,june,Early Growing Season,mean,data/processed/composites/esi_2020_june_mean.tif,15,higher,6.717792510986328,44.785282135009766,0.7721589803695679,0.7996370196342468,0.1232318207621574,1.0,0.1073070466518402,0.592951774597168,0.7086023092269897,0.8380199670791626,0.928507685661316,34751,34751,34751,94839,100.0,100.0
esi,2021,june,Early Growing Season,mean,data/processed/composites/esi_2021_june_mean.tif,14,medium,10.094932556152344,72.10665893554688,0.8376661539077759,0.864171028137207,0.0691073611378669,1.0,0.1128559410572052,0.648320734500885,0.7884101867675781,0.9146180152893066,0.9585464596748352,34751,34751,34751,94839,100.0,100.0
esi,2022,june,Early Growing Season,mean,data/processed/composites/esi_2022_june_mean.tif,22,higher,13.191678047180176,59.9621696472168,0.7746780514717102,0.7848900556564331,0.2099787294864654,1.0,0.1121349707245826,0.5902042388916016,0.7055000066757202,0.863926351070404,0.9229500889778136,34751,34751,34751,94839,100.0,100.0
esi,2023,june,Early Growing Season,mean,data/processed/composites/esi_2023_june_mean.tif,22,higher,12.181807518005373,55.37185287475586,0.751789927482605,0.7568976283073425,0.1764258295297622,1.0,0.1139999404549598,0.573944628238678,0.6861753463745117,0.8328002095222473,0.9199012517929076,34751,34751,34751,94839,100.0,100.0
esi,2024,june,Early Growing Season,mean,data/processed/composites/esi_2024_june_mean.tif,2,low,1.119133234024048,55.956661224365234,0.9247664213180542,0.9962561130523682,0.0,1.0,0.1403750479221344,0.6666356325149536,0.8947867751121521,1.0,1.0,34510,34510,34751,94839,99.30649477712872,99.30649477712872
esi,2025,june,Early Growing Season,mean,data/processed/composites/esi_2025_june_mean.tif,6,medium,4.623349189758301,77.0558090209961,0.735104501247406,0.7608932256698608,0.0501028671860694,1.0,0.1520444601774215,0.4601309299468994,0.6423207521438599,0.8577097654342651,0.9238570928573608,34751,34751,34751,94839,100.0,100.0
et,2019,june,Early Growing Season,mean,data/processed/composites/et_2019_june_mean.tif,13,medium,8.199102401733398,63.07001876831055,2.147244691848755,2.032862663269043,0.3460666537284851,4.320793151855469,0.6374657154083252,1.2490577697753906,1.6297829151153564,2.735060691833496,3.1458771228790283,34751,34751,34751,94839,100.0,100.0
et,2020,june,Early Growing Season,mean,data/processed/composites/et_2020_june_mean.tif,15,higher,6.717792510986328,44.785282135009766,1.731376051902771,1.7337219715118408,0.5685421228408813,3.802043199539185,0.2621545195579529,1.2909266948699951,1.5687217712402344,1.904690146446228,2.141441583633423,34751,34751,34751,94839,100.0,100.0
et,2021,june,Early Growing Season,mean,data/processed/composites/et_2021_june_mean.tif,14,medium,10.094932556152344,72.10665893554688,2.0769972801208496,1.9831370115280151,0.5783592462539673,3.6031317710876474,0.4985043704509735,1.348581075668335,1.707422375679016,2.4958934783935547,2.909075736999512,34751,34751,34751,94839,100.0,100.0
et,2022,june,Early Growing Season,mean,data/processed/composites/et_2022_june_mean.tif,22,higher,13.191678047180176,59.9621696472168,2.6176273822784424,2.510336637496948,1.1782915592193604,4.285279273986816,0.5409924387931824,1.857505321502685,2.191656351089477,3.056110382080078,3.559096097946167,34751,34751,34751,94839,100.0,100.0
et,2023,june,Early Growing Season,mean,data/processed/composites/et_2023_june_mean.tif,22,higher,12.181807518005373,55.37185287475586,2.269378185272217,2.197887659072876,0.7655805349349976,4.829877853393555,0.4532799422740936,1.6167278289794922,1.951809644699097,2.550158977508545,3.1137003898620605,34751,34751,34751,94839,100.0,100.0
et,2024,june,Early Growing Season,mean,data/processed/composites/et_2024_june_mean.tif,2,low,1.119133234024048,55.956661224365234,2.2552759647369385,2.166189670562744,0.0,6.110135555267334,1.0010713338851929,0.8075276613235474,1.4342305660247805,3.049820899963379,3.9264883995056152,34510,34510,34751,94839,99.30649477712872,99.30649477712872
et,2025,june,Early Growing Season,mean,data/processed/composites/et_2025_june_mean.tif,6,medium,4.623349189758301,77.0558090209961,2.767418622970581,2.7367992401123047,0.4782033860683441,5.093884468078613,0.8434341549873352,1.4386816024780271,2.0923643112182617,3.5111374855041504,4.04088306427002,34751,34751,34751,94839,100.0,100.0
ndvi,2019,june,Early Growing Season,mean,data/processed/composites/ndvi_2019_june_mean.tif,32,higher,23.973583221435547,74.9174575805664,0.1365409195423126,0.0778540670871734,-0.2206830829381942,0.491180807352066,0.1454624533653259,-0.031248603016138,0.0124873733147978,0.2782864868640899,0.385136604309082,34751,34751,34751,94839,100.0,100.0
ndvi,2020,june,Early Growing Season,mean,data/processed/composites/ndvi_2020_june_mean.tif,50,higher,38.00270462036133,76.00540924072266,0.1806681603193283,0.1671258956193924,0.0346926338970661,0.4231506586074829,0.051943153142929,0.1137108728289604,0.1402382254600525,0.2209472358226776,0.2743723690509796,34751,34751,34751,94839,100.0,100.0
ndvi,2021,june,Early Growing Season,mean,data/processed/composites/ndvi_2021_june_mean.tif,46,higher,32.027767181396484,69.62557220458984,0.1665672212839126,0.1411574631929397,-0.0431689620018005,0.4247103333473205,0.1016339585185051,0.0291391685605049,0.0835771337151527,0.255384087562561,0.3417282104492187,34751,34751,34751,94839,100.0,100.0
