class_map,elevation_bin,class_code,class_name,pixel_count,area_km2,percent_of_class,mean_elevation,median_elevation
daytime,lowest_elevation_quartile,0,unclassified_or_no_data,3,0.0147,2.2556390977443606,1954.5869140625,1943.7674560546875
daytime,low_mid_elevation,0,unclassified_or_no_data,55,0.2695,41.35338345864661,2238.24365234375,2255.771484375
daytime,high_mid_elevation,0,unclassified_or_no_data,56,0.2744,42.10526315789473,2417.600830078125,2388.807861328125
daytime,highest_elevation_quartile,0,unclassified_or_no_data,19,0.0931,14.285714285714285,2704.077392578125,2660.79931640625
daytime,lowest_elevation_quartile,1,stable_core,201,0.9849,54.03225806451613,1827.4073486328125,1824.5712890625
daytime,low_mid_elevation,1,stable_core,142,0.6958,38.17204301075269,2193.96875,2197.69140625
daytime,high_mid_elevation,1,stable_core,29,0.1421,7.795698924731183,2382.79443359375,2365.74755859375
daytime,lowest_elevation_quartile,2,coherent_june_activation,81,0.3969,88.04347826086956,1770.852783203125,1791.6103515625
daytime,low_mid_elevation,2,coherent_june_activation,9,0.0441,9.782608695652174,2193.70751953125,2190.46484375
daytime,highest_elevation_quartile,2,coherent_june_activation,2,0.0098,2.1739130434782608,2826.83203125,2826.83203125
daytime,lowest_elevation_quartile,4,esi_watch_zone_exploratory,343,1.6806999999999999,3.2810407499521714,1911.93798828125,1939.51611328125
daytime,low_mid_elevation,4,esi_watch_zone_exploratory,1339,6.5611,12.808494356227282,2227.954833984375,2246.014404296875
daytime,high_mid_elevation,4,esi_watch_zone_exploratory,3827,18.752299999999998,36.60799693897073,2459.91943359375,2463.95166015625
daytime,highest_elevation_quartile,4,esi_watch_zone_exploratory,4945,24.2305,47.30246795484982,2759.900634765625,2744.714599609375
daytime,lowest_elevation_quartile,5,demand_efficiency_watch_exploratory,5407,26.4943,44.239895270823105,1898.78125,1924.501953125
daytime,low_mid_elevation,5,demand_efficiency_watch_exploratory,4617,22.6233,37.77614138438881,2171.525146484375,2164.314697265625
daytime,high_mid_elevation,5,demand_efficiency_watch_exploratory,1685,8.256499999999999,13.78661430207822,2436.980224609375,2427.669677734375
daytime,highest_elevation_quartile,5,demand_efficiency_watch_exploratory,513,2.5137,4.197349042709867,2723.70068359375,2688.352294921875
daytime,lowest_elevation_quartile,6,efficient_activation_support,547,2.6803,23.031578947368423,1898.5472412109375,1922.354736328125
daytime,low_mid_elevation,6,efficient_activation_support,732,3.5867999999999998,30.82105263157895,2196.63720703125,2202.61279296875
daytime,high_mid_elevation,6,efficient_activation_support,605,2.9644999999999997,25.473684210526315,2436.031494140625,2428.307373046875
daytime,highest_elevation_quartile,6,efficient_activation_support,491,2.4059,20.673684210526318,2746.5673828125,2729.654052734375
daytime,lowest_elevation_quartile,7,product_disagreement_zone,2189,10.726099999999999,25.1522463518327,1863.428466796875,1876.1572265625
daytime,low_mid_elevation,7,product_disagreement_zone,1754,8.5946,20.153969895438355,2201.71337890625,2208.17431640625
