class_map,axis,bin,class_code,class_name,pixel_count,area_km2,percent_of_class
daytime,north_south,middle_north,0,unclassified_or_no_data,33,0.16169999999999998,24.444444444444443
daytime,north_south,middle_south,0,unclassified_or_no_data,57,0.2793,42.22222222222222
daytime,north_south,north,0,unclassified_or_no_data,13,0.06369999999999999,9.62962962962963
daytime,north_south,south,0,unclassified_or_no_data,32,0.1568,23.703703703703706
daytime,north_south,middle_north,1,stable_core,78,0.3822,20.855614973262032
daytime,north_south,middle_south,1,stable_core,217,1.0633,58.02139037433155
daytime,north_south,north,1,stable_core,67,0.3283,17.914438502673796
daytime,north_south,south,1,stable_core,12,0.0588,3.2085561497326207
daytime,north_south,middle_north,2,coherent_june_activation,72,0.3528,75.0
daytime,north_south,middle_south,2,coherent_june_activation,17,0.0833,17.708333333333336
daytime,north_south,north,2,coherent_june_activation,4,0.0196,4.166666666666666
daytime,north_south,south,2,coherent_june_activation,3,0.0147,3.125
daytime,north_south,middle_north,4,esi_watch_zone_exploratory,3087,15.126299999999999,28.996806312229946
daytime,north_south,middle_south,4,esi_watch_zone_exploratory,3846,18.845399999999998,36.12624459891039
daytime,north_south,north,4,esi_watch_zone_exploratory,895,4.3854999999999995,8.406913394702235
daytime,north_south,south,4,esi_watch_zone_exploratory,2818,13.8082,26.470035694157428
daytime,north_south,middle_north,5,demand_efficiency_watch_exploratory,2243,10.9907,18.109155498143064
daytime,north_south,middle_south,5,demand_efficiency_watch_exploratory,7987,39.1363,64.48409494590666
daytime,north_south,north,5,demand_efficiency_watch_exploratory,651,3.1898999999999997,5.255934119166801
daytime,north_south,south,5,demand_efficiency_watch_exploratory,1505,7.374499999999999,12.150815436783466
daytime,north_south,middle_north,6,efficient_activation_support,639,3.1311,26.134969325153374
daytime,north_south,middle_south,6,efficient_activation_support,1121,5.4929,45.848670756646214
daytime,north_south,north,6,efficient_activation_support,345,1.6905,14.11042944785276
daytime,north_south,south,6,efficient_activation_support,340,1.666,13.905930470347649
daytime,north_south,middle_north,7,product_disagreement_zone,2426,11.8874,27.51502778722922
daytime,north_south,middle_south,7,product_disagreement_zone,4220,20.678,47.86208460927753
daytime,north_south,north,7,product_disagreement_zone,840,4.116,9.52705001701259
daytime,north_south,south,7,product_disagreement_zone,1331,6.5219,15.095837586480663
daytime,north_south,middle_north,8,high_variability_zone,192,0.9408,25.06527415143603
daytime,north_south,middle_south,8,high_variability_zone,253,1.2397,33.02872062663185
daytime,north_south,north,8,high_variability_zone,67,0.3283,8.7467362924282
daytime,north_south,south,8,high_variability_zone,254,1.2446,33.15926892950392
daytime,west_east,east,0,unclassified_or_no_data,23,0.1127,17.037037037037038
daytime,west_east,middle_east,0,unclassified_or_no_data,30,0.147,22.22222222222222
daytime,west_east,middle_west,0,unclassified_or_no_data,68,0.3332,50.37037037037037
