class_map,class_code,class_name,story_role,description,pixel_count,area_km2,percent_of_valid_aoi,centroid_x,centroid_y,min_x,max_x,min_y,max_y,elevation_available,elevation_mean,elevation_median,elevation_p25,elevation_p75,slope_available,slope_mean,slope_median,slope_p25,slope_p75,aspect_available,aspect_mean,aspect_median,aspect_p25,aspect_p75,forest_mask_available
daytime,0,unclassified_or_no_data,not interpreted,No dominant story assigned or no valid trend support.,135,0.6615,0.378522360857984,589682.4074074074,5167779.814814814,580725.0,599065.0,5159525.0,5179685.0,True,2373.91162109375,2342.45751953125,2264.409423828125,2470.897705078125,True,36.24079132080078,35.56397247314453,31.098527908325195,41.194061279296875,True,205.14910888671875,222.94754028320312,123.40401458740234,299.2386169433594,False
daytime,1,stable_core,strong stability candidate,"Low interannual variability across NDVI, ET, and ESI.",374,1.8326,1.0486471330436002,590463.7967914438,5169716.92513369,579815.0,599695.0,5160645.0,5180315.0,True,2010.627685546875,2024.033935546875,1807.636962890625,2205.117431640625,True,33.184844970703125,34.066192626953125,26.667816162109375,39.692996978759766,True,184.0935821533203,223.4709014892578,81.93434143066406,261.37139892578125,False
daytime,2,coherent_june_activation,coherent activation,NDVI and ET slopes are positive and ESI is nonnegative.,96,0.4704,0.269171456610122,588441.7708333334,5170506.25,584085.0,598715.0,5162185.0,5180315.0,True,1835.17529296875,1799.536865234375,1719.449462890625,1895.5482177734375,True,31.444259643554688,32.31523132324219,24.194419860839844,37.7849235534668,True,189.50318908691406,186.04554748535156,167.03688049316406,202.4698486328125,False
daytime,4,esi_watch_zone_exploratory,monitoring zone,NDVI and ET are positive but ESI slope is negative.,10646,52.1654,29.84999299032665,589599.278602292,5167714.921097126,579675.0,600535.0,5158615.0,5180245.0,True,2554.12744140625,2570.55419921875,2391.865234375,2734.6962890625,True,31.39901351928711,32.2912712097168,24.799293518066406,38.10045623779297,True,173.75621032714844,166.07745361328125,99.73899841308594,249.2828369140625,False
daytime,5,demand_efficiency_watch_exploratory,monitoring zone,"NDVI, ET, and PET are positive while WUE is negative.",12386,60.6914,34.72872564138511,589716.3773615372,5167813.56289359,579395.0,600465.0,5158755.0,5180385.0,True,2110.637451171875,2093.99365234375,1945.904296875,2243.39404296875,True,27.85409927368164,28.16305923461914,20.663991928100586,34.69281768798828,True,161.86544799804688,155.71856689453125,81.65957641601562,238.8857421875,False
daytime,6,efficient_activation_support,efficient activation candidate,NDVI and ET are positive and WUE is nonnegative.,2445,11.9805,6.855460535539044,589899.0081799591,5168777.797546012,579535.0,600395.0,5158545.0,5180105.0,True,2302.65576171875,2288.670654296875,2078.285400390625,2527.0419921875,True,30.76934242248535,31.08220100402832,24.16055679321289,37.17286682128906,True,181.8784942626953,185.07260131835938,126.60995483398438,236.25967407226562,False
daytime,7,product_disagreement_zone,hypothesis generator,Main products point in conflicting directions.,8817,43.2033,24.72171596803589,589949.4232732222,5168306.447204265,579465.0,599975.0,5158545.0,5180385.0,True,2331.509521484375,2359.399169921875,2060.8798828125,2613.33935546875,True,30.841537475585938,31.48443031311035,24.39197540283203,37.30659484863281,True,196.48838806152344,216.20152282714844,111.75509643554688,273.18438720703125,False
daytime,8,high_variability_zone,variability zone,One or more main products show high interannual variability.,766,3.7534,2.1477639142015983,588993.681462141,5166940.796344647,580655.0,599625.0,5158545.0,5179615.0,True,2587.6279296875,2638.3564453125,2379.895263671875,2753.6201171875,True,29.687137603759766,28.12755584716797,21.428220748901367,36.41483688354492,True,196.99879455566406,200.84988403320312,138.23745727539062,263.9390563964844,False
midday_afternoon,0,unclassified_or_no_data,not interpreted,No dominant story assigned or no valid trend support.,640,3.136,1.794476377400813,588278.875,5167231.5625,579605.0,599905.0,5159385.0,5179825.0,True,2216.013916015625,2186.79638671875,2033.3797607421875,2369.16552734375,True,33.204307556152344,34.58723449707031,27.78499412536621,39.578773498535156,True,178.14247131347656,186.07505798339844,91.78893280029297,258.3785095214844,False
midday_afternoon,1,stable_core,strong stability candidate,"Low interannual variability across NDVI, ET, and ESI.",1370,6.713,3.841300995373616,590070.0,5168534.817518248,579465.0,599975.0,5159805.0,5180315.0,True,1996.5867919921875,2009.2314453125,1856.373291015625,2136.450439453125,True,29.56775665283203,29.955101013183594,22.002872467041016,36.214805603027344,True,174.32882690429688,185.86605834960938,82.18659210205078,257.79998779296875,False
