primary_map,comparison_map,class_code,class_name,primary_pixel_count,comparison_pixel_count,overlap_pixel_count,percent_primary_persisting,percent_comparison_overlapping_primary
daytime,midday_afternoon,1,stable_core,374,1370,90,24.06417112299465,6.569343065693431
daytime,midday_afternoon,4,esi_watch_zone_exploratory,10646,2225,1729,16.240841630659403,77.70786516853933
daytime,midday_afternoon,5,demand_efficiency_watch_exploratory,12386,10350,6360,51.3482964637494,61.44927536231884
daytime,midday_afternoon,6,efficient_activation_support,2445,977,168,6.871165644171779,17.195496417604915
daytime,midday_afternoon,7,product_disagreement_zone,8817,17934,6581,74.63990019280935,36.6956618713059
daytime,midday_afternoon,8,high_variability_zone,766,1958,409,53.394255874673625,20.888661899897855
daytime,midday_afternoon,9,seasonal_activation_zone,0,0,0,,
daytime,daytime_evening,1,stable_core,374,377,301,80.4812834224599,79.84084880636605
daytime,daytime_evening,4,esi_watch_zone_exploratory,10646,11239,10574,99.32368964869434,94.0831034789572
daytime,daytime_evening,5,demand_efficiency_watch_exploratory,12386,12176,11841,95.59987082189569,97.24868593955321
daytime,daytime_evening,6,efficient_activation_support,2445,2366,2260,92.43353783231085,95.51986475063397
daytime,daytime_evening,7,product_disagreement_zone,8817,8714,7974,90.43892480435522,91.50791829240303
daytime,daytime_evening,8,high_variability_zone,766,578,552,72.0626631853786,95.50173010380622
daytime,daytime_evening,9,seasonal_activation_zone,0,0,0,,
daytime,all_available_timebin,1,stable_core,374,416,303,81.01604278074866,72.83653846153845
daytime,all_available_timebin,4,esi_watch_zone_exploratory,10646,11458,10581,99.38944204396017,92.34595915517542
daytime,all_available_timebin,5,demand_efficiency_watch_exploratory,12386,11829,11410,92.12013563700953,96.45785780708428
daytime,all_available_timebin,6,efficient_activation_support,2445,2390,2234,91.37014314928426,93.47280334728033
daytime,all_available_timebin,7,product_disagreement_zone,8817,9032,7643,86.68481342860383,84.62134632418069
daytime,all_available_timebin,8,high_variability_zone,766,349,340,44.38642297650131,97.42120343839542
daytime,all_available_timebin,9,seasonal_activation_zone,0,0,0,,
daytime,phase1_all_scene,1,stable_core,374,384,182,48.663101604278076,47.39583333333333
daytime,phase1_all_scene,4,esi_watch_zone_exploratory,10646,13005,9244,86.83073454818711,71.0803537101115
daytime,phase1_all_scene,5,demand_efficiency_watch_exploratory,12386,10099,8263,66.71241724527692,81.81998217645311
daytime,phase1_all_scene,6,efficient_activation_support,2445,3185,1425,58.282208588957054,44.740973312401884
daytime,phase1_all_scene,7,product_disagreement_zone,8817,1965,1446,16.40013610071453,73.58778625954199
daytime,phase1_all_scene,8,high_variability_zone,766,38,37,4.830287206266318,97.36842105263158
daytime,phase1_all_scene,9,seasonal_activation_zone,0,5978,0,,0.0
