class_map,class_code,class_name,patch_id,pixel_count,area_km2,centroid_x,centroid_y,min_x,max_x,min_y,max_y
daytime,1,stable_core,63,42,0.20579999999999998,588091.6666666666,5169246.666666667,587865.0,588495.0,5168905.0,5169535.0
daytime,1,stable_core,137,16,0.0784,586176.25,5165208.125,586045.0,586255.0,5164915.0,5165475.0
daytime,1,stable_core,14,13,0.06369999999999999,599248.0769230769,5177983.461538462,599065.0,599415.0,5177865.0,5178075.0
daytime,1,stable_core,58,11,0.053899999999999997,589411.3636363636,5169783.181818182,589265.0,589475.0,5169605.0,5169885.0
daytime,1,stable_core,46,10,0.049,590504.0,5170781.0,590315.0,590665.0,5170725.0,5170865.0
daytime,2,coherent_june_activation,9,38,0.1862,586317.6315789474,5170898.157894737,585975.0,586605.0,5170655.0,5171355.0
daytime,2,coherent_june_activation,20,11,0.053899999999999997,592052.2727272727,5168338.636363637,591925.0,592205.0,5168205.0,5168485.0
daytime,4,esi_watch_zone_exploratory,223,2773,13.5877,584643.9902632528,5162608.205914172,581495.0,588355.0,5158615.0,5167015.0
daytime,4,esi_watch_zone_exploratory,27,2249,11.0201,597857.3832814584,5171167.378835037,595425.0,600535.0,5167645.0,5176465.0
daytime,4,esi_watch_zone_exploratory,216,620,3.038,581137.6612903225,5164264.564516129,579885.0,581915.0,5162325.0,5167085.0
daytime,4,esi_watch_zone_exploratory,31,581,2.8468999999999998,586497.891566265,5175129.698795181,585205.0,587655.0,5174085.0,5176325.0
daytime,4,esi_watch_zone_exploratory,88,498,2.4402,594887.2088353414,5170529.196787149,593465.0,597245.0,5169325.0,5171495.0
daytime,4,esi_watch_zone_exploratory,211,488,2.3912,593429.1393442623,5166264.3647540985,591925.0,595005.0,5165195.0,5167225.0
daytime,4,esi_watch_zone_exploratory,119,398,1.9502,586762.7638190954,5168576.281407035,585485.0,588005.0,5166945.0,5169955.0
daytime,4,esi_watch_zone_exploratory,139,343,1.6806999999999999,583728.6734693878,5168177.244897959,582825.0,584645.0,5167155.0,5169115.0
daytime,4,esi_watch_zone_exploratory,68,262,1.2838,590336.106870229,5172126.335877863,588985.0,591715.0,5171495.0,5172685.0
daytime,4,esi_watch_zone_exploratory,7,180,0.882,597989.7222222222,5177805.888888889,597455.0,598365.0,5176395.0,5179125.0
daytime,5,demand_efficiency_watch_exploratory,60,5698,27.920199999999998,591991.9778869778,5167560.823095823,587375.0,597035.0,5164145.0,5171985.0
daytime,5,demand_efficiency_watch_exploratory,86,1674,8.2026,585247.5268817204,5167442.986857826,583385.0,586955.0,5163865.0,5171075.0
daytime,5,demand_efficiency_watch_exploratory,295,1200,5.88,581423.4833333333,5161949.683333334,579395.0,583595.0,5159945.0,5163865.0
daytime,5,demand_efficiency_watch_exploratory,19,1132,5.5468,598619.3992932863,5174556.881625442,596125.0,600185.0,5172615.0,5176885.0
daytime,5,demand_efficiency_watch_exploratory,111,755,3.6995,582151.701986755,5167570.36423841,580025.0,583805.0,5164845.0,5170305.0
daytime,5,demand_efficiency_watch_exploratory,236,134,0.6566,582847.4626865672,5165637.462686568,582055.0,583595.0,5164845.0,5166175.0
daytime,5,demand_efficiency_watch_exploratory,89,117,0.5733,586367.4786324786,5170400.128205128,585765.0,586885.0,5169885.0,5170865.0
daytime,5,demand_efficiency_watch_exploratory,259,116,0.5684,580090.775862069,5164406.8965517245,579605.0,580725.0,5163865.0,5165125.0
daytime,5,demand_efficiency_watch_exploratory,1,95,0.46549999999999997,598516.7894736842,5179841.2105263155,598085.0,598995.0,5179405.0,5180385.0
daytime,5,demand_efficiency_watch_exploratory,67,78,0.3822,585587.3076923077,5171198.846153846,585345.0,586115.0,5170655.0,5171705.0
daytime,6,efficient_activation_support,437,105,0.5145,580782.3333333334,5160934.333333333,580165.0,581355.0,5160295.0,5161555.0
daytime,6,efficient_activation_support,4,100,0.49,598363.6,5178860.4,597945.0,598925.0,5178145.0,5179475.0
daytime,6,efficient_activation_support,123,98,0.48019999999999996,586382.1428571428,5170045.714285715,585415.0,587235.0,5169745.0,5170515.0
daytime,6,efficient_activation_support,242,90,0.441,593048.8888888889,5167371.222222222,592205.0,593815.0,5166945.0,5167855.0
daytime,6,efficient_activation_support,138,85,0.4165,590664.1764705882,5169662.647058823,590245.0,591155.0,5169185.0,5170025.0
daytime,6,efficient_activation_support,331,57,0.2793,589132.3684210526,5165918.333333333,588775.0,589615.0,5165685.0,5166105.0
daytime,6,efficient_activation_support,272,47,0.2303,583286.7021276596,5166901.808510638,582825.0,583665.0,5166595.0,5167225.0
daytime,6,efficient_activation_support,110,45,0.2205,598708.7777777778,5171182.333333333,598505.0,598925.0,5170865.0,5171425.0
daytime,6,efficient_activation_support,173,35,0.17149999999999999,600125.0,5169021.0,599835.0,600395.0,5168835.0,5169185.0
daytime,6,efficient_activation_support,370,34,0.1666,590084.4117647059,5164931.470588235,589755.0,590385.0,5164565.0,5165405.0
daytime,7,product_disagreement_zone,232,1066,5.2234,587252.7298311444,5165918.442776736,585205.0,589195.0,5163095.0,5168835.0
daytime,7,product_disagreement_zone,17,909,4.4540999999999995,598045.9570957095,5175687.530253026,596475.0,599625.0,5173805.0,5178495.0
daytime,7,product_disagreement_zone,174,599,2.9351,597799.6243739566,5168473.080133556,596195.0,599485.0,5166665.0,5170165.0
daytime,7,product_disagreement_zone,330,518,2.5382,582017.027027027,5164801.216216216,581215.0,583105.0,5163655.0,5166875.0
daytime,7,product_disagreement_zone,119,306,1.4993999999999998,593651.6666666666,5171120.294117647,592415.0,594585.0,5169815.0,5172125.0
daytime,7,product_disagreement_zone,113,240,1.176,591181.5416666666,5171411.583333333,589895.0,592205.0,5170585.0,5172265.0
daytime,7,product_disagreement_zone,312,235,1.1515,590087.1276595745,5166557.468085106,588845.0,590945.0,5165755.0,5167225.0
daytime,7,product_disagreement_zone,216,227,1.1123,588600.4625550661,5168247.555066079,588145.0,589195.0,5167295.0,5169255.0
daytime,7,product_disagreement_zone,181,223,1.0927,587303.7443946188,5169420.426008969,586255.0,587865.0,5168625.0,5170025.0
daytime,7,product_disagreement_zone,434,210,1.029,590488.6666666666,5164215.0,589265.0,591785.0,5163305.0,5165265.0
daytime,8,high_variability_zone,115,54,0.2646,587498.1481481482,5163107.962962963,587025.0,587935.0,5162605.0,5163515.0
daytime,8,high_variability_zone,27,51,0.24989999999999998,593265.9803921569,5170908.9215686275,592905.0,593605.0,5170585.0,5171215.0
daytime,8,high_variability_zone,78,44,0.21559999999999999,584081.8181818182,5165121.818181818,583665.0,584435.0,5164775.0,5165405.0
daytime,8,high_variability_zone,61,40,0.196,582762.0,5166336.0,582475.0,583175.0,5166175.0,5166595.0
daytime,8,high_variability_zone,123,39,0.1911,583785.2564102564,5162407.564102564,583385.0,584015.0,5162115.0,5162745.0
daytime,8,high_variability_zone,2,37,0.1813,597818.2432432432,5177605.810810811,597595.0,598015.0,5177375.0,5177865.0
daytime,8,high_variability_zone,44,37,0.1813,595506.3513513514,5169875.540540541,595145.0,595845.0,5169675.0,5170025.0
daytime,8,high_variability_zone,25,36,0.1764,592461.6666666666,5171804.166666667,592275.0,592695.0,5171565.0,5171985.0
daytime,8,high_variability_zone,83,28,0.1372,584995.0,5164662.5,584855.0,585205.0,5164215.0,5164985.0
daytime,8,high_variability_zone,113,16,0.0784,586972.5,5163340.0,586885.0,587095.0,5163025.0,5163585.0
midday_afternoon,1,stable_core,14,69,0.3381,598989.9275362319,5177846.739130435,598645.0,599415.0,5177375.0,5178495.0
midday_afternoon,1,stable_core,50,57,0.2793,585162.0175438597,5170748.333333333,584575.0,585625.0,5170445.0,5171145.0
midday_afternoon,1,stable_core,224,46,0.2254,589029.1304347826,5165904.130434782,588775.0,589405.0,5165685.0,5166105.0
midday_afternoon,1,stable_core,172,39,0.1911,588990.3846153846,5167298.58974359,588635.0,589265.0,5166945.0,5167575.0
midday_afternoon,1,stable_core,2,35,0.17149999999999999,598731.0,5179625.0,598365.0,599065.0,5179405.0,5179895.0
midday_afternoon,1,stable_core,258,32,0.1568,593305.3125,5164785.9375,593045.0,593605.0,5164565.0,5165125.0
