product,year,evening,midday_afternoon,morning,night,unknown,daytime,all_usable
esi,2019,0,4,3,0,0,7,7
esi,2020,0,2,3,0,0,5,5
esi,2021,1,2,6,0,0,8,9
esi,2022,2,4,5,0,0,9,11
esi,2023,0,3,7,0,0,10,10
esi,2024,0,1,0,0,0,1,1
esi,2025,0,1,3,0,0,4,4
et,2019,0,4,3,0,0,7,7
et,2020,0,2,3,0,0,5,5
et,2021,1,2,6,0,0,8,9
et,2022,2,4,5,0,0,9,11
et,2023,0,3,7,0,0,10,10
et,2024,0,1,0,0,0,1,1
et,2025,0,1,3,0,0,4,4
ndvi,2019,4,14,6,0,0,20,24
ndvi,2020,6,16,16,0,0,32,38
ndvi,2021,8,10,14,0,0,24,32
ndvi,2022,8,24,12,0,0,36,44
ndvi,2023,8,16,22,2,0,38,48
ndvi,2024,0,8,6,4,0,14,18
ndvi,2025,2,12,16,0,0,28,30
pet,2019,0,4,3,0,0,7,7
pet,2020,0,2,3,0,0,5,5
pet,2021,1,2,6,0,0,8,9
pet,2022,2,4,5,0,0,9,11
pet,2023,0,3,7,0,0,10,10
pet,2024,0,1,0,0,0,1,1
pet,2025,0,1,3,0,0,4,4
wue,2019,0,1,3,0,0,4,4
wue,2020,0,2,2,0,0,4,4
wue,2021,0,2,4,0,0,6,6
wue,2022,2,3,5,0,0,8,10
wue,2023,0,2,7,0,0,9,9
wue,2024,0,0,0,0,0,0,0
wue,2025,0,1,3,0,0,4,4
