product,window,window_confidence,years_with_all_months_usable_count,years_with_partial_usable_count,total_usable_records_in_window,min_monthly_usable_records
esi,apr_jun,medium_partial,1,5,126,0
esi,jan_jun,medium_partial,0,6,214,0
esi,jan_mar,medium_partial,0,5,88,0
esi,june,high,6,0,47,1
esi,may_jun,medium_partial,1,5,59,0
et,apr_jun,medium_partial,1,5,126,0
et,jan_jun,medium_partial,0,6,214,0
et,jan_mar,medium_partial,0,5,88,0
et,june,high,6,0,47,1
et,may_jun,medium_partial,1,5,59,0
ndvi,apr_jun,medium_partial,4,3,496,0
ndvi,jan_jun,medium_partial,2,5,704,0
ndvi,jan_mar,medium_partial,2,5,208,0
ndvi,june,high,7,0,234,18
ndvi,may_jun,medium_partial,4,3,292,0
pet,apr_jun,medium_partial,1,5,126,0
pet,jan_jun,medium_partial,0,6,214,0
pet,jan_mar,medium_partial,0,5,88,0
pet,june,high,6,0,47,1
pet,may_jun,medium_partial,1,5,59,0
wue,apr_jun,medium_partial,0,6,40,0
wue,jan_jun,medium_partial,0,6,40,0
wue,jan_mar,low,0,0,0,0
wue,june,high,6,0,37,0
wue,may_jun,medium_partial,1,5,40,0
