product,year,month,row_count,weighted_mean,simple_mean,total_count_weight
pet,2019,1,1,0.0013693,0.0013693,35599.0
pet,2019,2,10,17.077910999796877,17.2332677,351023.0
pet,2019,6,7,251.10142319616452,248.92381804285714,238872.0
pet,2020,1,1,0.1003542,0.1003542,35665.0
pet,2020,2,2,19.070194701450987,18.92206625,70159.0
pet,2020,3,1,6.2170591,6.2170591,30375.0
pet,2020,4,11,66.52348354310547,66.89994684545455,372709.0
pet,2020,5,1,55.2663116,55.2663116,35665.0
pet,2020,6,5,126.37127417150539,125.50162830000002,167930.0
pet,2021,2,14,15.00139549558598,14.986541157142858,498797.0
pet,2021,3,5,4.8822529910449655,4.78811834,173757.0
pet,2021,4,12,40.25503268111046,40.096490225000004,413652.0
pet,2021,5,5,29.771547966240718,28.63434274,170599.0
pet,2021,6,9,178.48113722469458,178.6037429222222,305148.0
pet,2022,1,1,2.5275972,2.5275972,35665.0
pet,2022,2,13,11.70473616900574,12.092663453846153,445476.0
pet,2022,3,2,23.593570292738463,25.750613750000003,65000.0
pet,2022,4,17,81.07168582918078,80.62646504117647,584943.0
pet,2022,5,2,19.44857968013974,20.4971659,66122.0
pet,2022,6,11,240.03574544430415,242.0889622090909,368753.0
pet,2023,1,3,4.442396207793678,4.517849,106009.0
pet,2023,2,16,16.688884413498904,16.6059027875,562542.0
pet,2023,3,4,28.149982978547886,27.641342625,118627.0
pet,2023,4,19,60.1826604295766,60.49750315263159,634052.0
pet,2023,5,2,86.88939980854452,85.39575574999999,61513.0
pet,2023,6,10,197.28851624868753,201.79641191,322331.0
pet,2024,2,2,23.970549827414946,25.4367876,65840.0
pet,2024,6,1,242.1220398,242.1220398,35397.0
pet,2025,1,2,0.5873389,0.5873389,71330.0
pet,2025,2,10,10.861286753531646,10.994852139999999,344202.0
pet,2025,3,1,77.3393555,77.3393555,33350.0
pet,2025,4,8,109.64290151663819,108.28019129999998,279802.0
pet,2025,5,2,346.8318641938766,346.86946105000004,71153.0
pet,2025,6,4,260.15173876149385,265.218101525,133706.0
wue,2019,6,4,2.419329650187874,2.512130425,117632.0
wue,2020,6,4,1.2710638516737878,1.1936406000000002,128959.0
wue,2021,5,1,0.04997250000000001,0.0499725,27089.0
wue,2021,6,6,1.1841425834829846,1.2299222666666667,181867.0
wue,2022,6,10,2.144659688999246,2.11244521,338195.0
wue,2023,6,9,1.4362080735426184,1.3393444333333333,284174.0
wue,2025,5,2,1.982472928845818,1.98236195,51543.0
wue,2025,6,4,1.5483744303677924,1.4928439249999998,130454.0
