variable,season,season_label,metric,label,raster_path,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent
esi,june,Early Growing Season,interannual_std,exploratory variability metric,data/processed/stability/esi_june_interannual_std.tif,0.11046089977025986,0.105736643075943,0.0,0.3444698750972748,0.0383993536233902,0.056563276797533035,0.08342436701059341,0.13256460428237915,0.1791445016860962,34751,34751,34751,94839,100.0,100.0
esi,june,Early Growing Season,interannual_range,exploratory variability metric,data/processed/stability/esi_june_interannual_range.tif,0.32529863715171814,0.30843353271484375,0.0,1.0,0.11434770375490189,0.16969940066337585,0.24736124277114868,0.38492608070373535,0.53142911195755,34751,34751,34751,94839,100.0,100.0
esi,june,Early Growing Season,coefficient_of_variation,exploratory variability metric,data/processed/stability/esi_june_coefficient_of_variation.tif,0.1415148228406906,0.12962985038757324,0.0,0.7160024046897888,0.0642104297876358,0.06609325110912323,0.10006648302078247,0.16901081800460815,0.2499198317527771,34751,34751,34751,94839,100.0,100.0
et,june,Early Growing Season,interannual_std,exploratory variability metric,data/processed/stability/et_june_interannual_std.tif,0.4985624849796295,0.4911724030971527,0.056925028562545776,1.3074719905853271,0.1773187667131424,0.22971591353416443,0.3564327359199524,0.6313222646713257,0.7882527112960815,34751,34751,34751,94839,100.0,100.0
et,june,Early Growing Season,interannual_range,exploratory variability metric,data/processed/stability/et_june_interannual_range.tif,1.5459518432617188,1.515443205833435,0.18445611000061035,4.506161689758301,0.5795918107032776,0.6794518828392029,1.076393723487854,1.980696201324463,2.5003881454467773,34751,34751,34751,94839,100.0,100.0
et,june,Early Growing Season,coefficient_of_variation,exploratory variability metric,data/processed/stability/et_june_coefficient_of_variation.tif,0.2195732444524765,0.21476690471172333,0.030000124126672745,0.6201395988464355,0.06508708000183105,0.12046179175376892,0.17608174681663513,0.25720304250717163,0.3347291648387909,34751,34751,34751,94839,100.0,100.0
ndvi,june,Early Growing Season,interannual_std,exploratory variability metric,data/processed/stability/ndvi_june_interannual_std.tif,0.04529780521988869,0.044698718935251236,0.0058623868972063065,0.17183971405029297,0.01425248570740223,0.02225225605070591,0.036153241991996765,0.05385451763868332,0.06890848278999329,34751,34751,34751,94839,100.0,100.0
ndvi,june,Early Growing Season,interannual_range,exploratory variability metric,data/processed/stability/ndvi_june_interannual_range.tif,0.1388329714536667,0.13718457520008087,0.015481173992156982,0.5376598834991455,0.04480291157960892,0.06686756759881973,0.11024784296751022,0.16595974564552307,0.2128467857837677,34751,34751,34751,94839,100.0,100.0
ndvi,june,Early Growing Season,coefficient_of_variation,exploratory variability metric,data/processed/stability/ndvi_june_coefficient_of_variation.tif,0.33544182777404785,0.2739439308643341,0.021396713331341743,9.434468269348145,0.24265235662460327,0.0980481505393982,0.15097251534461975,0.4624471068382263,0.7659570574760437,34751,34751,34751,94839,100.0,100.0
pet,june,Early Growing Season,interannual_std,exploratory variability metric,data/processed/stability/pet_june_interannual_std.tif,52.677085876464844,49.46257400512695,15.923967361450195,125.9205093383789,17.927101135253906,29.179784774780273,38.143333435058594,65.47514343261719,85.20402526855469,34751,34751,34751,94839,100.0,100.0
pet,june,Early Growing Season,interannual_range,exploratory variability metric,data/processed/stability/pet_june_interannual_range.tif,156.8317108154297,146.80270385742188,46.65589904785156,421.0537109375,58.916595458984375,81.51731872558594,108.34574890136719,196.34405517578125,264.54931640625,34751,34751,34751,94839,100.0,100.0
pet,june,Early Growing Season,coefficient_of_variation,exploratory variability metric,data/processed/stability/pet_june_coefficient_of_variation.tif,0.23985283076763153,0.23578724265098572,0.08239572495222092,0.508698046207428,0.05379772558808327,0.1613379716873169,0.2017439603805542,0.27075403928756714,0.33801746368408203,34751,34751,34751,94839,100.0,100.0
wue,june,Early Growing Season,interannual_std,exploratory variability metric,data/processed/stability/wue_june_interannual_std.tif,0.7483477592468262,0.7445896863937378,0.03558480739593506,3.376692533493042,0.3675297200679779,0.20791547000408173,0.45182210206985474,0.9822444915771484,1.3862531185150146,34751,34751,34751,94839,100.0,100.0
wue,june,Early Growing Season,interannual_range,exploratory variability metric,data/processed/stability/wue_june_interannual_range.tif,2.206573486328125,2.2041916847229004,0.0951165184378624,10.0,1.1191521883010864,0.5551139116287231,1.2980411052703857,2.9390416145324707,4.121918678283691,34751,34751,34751,94839,100.0,100.0
wue,june,Early Growing Season,coefficient_of_variation,exploratory variability metric,data/processed/stability/wue_june_coefficient_of_variation.tif,0.6670633554458618,0.5704977512359619,0.06996315717697144,2.4494900703430176,0.3574150800704956,0.2733188271522522,0.43298637866973877,0.788925290107727,1.4373148679733276,34751,34751,34751,94839,100.0,100.0
